,tweet
0,2010633  위버스는 이번에도 제꺼 늦게 보내줄껀가봐요 😅 그나마 휴가라서 다행입니다 아니면 열폭했을꺼예요😁😁😁
1,전문상선 😁블루씰😁 코카인   오전10시새벽1시 영업합니다😘 😂텔레채널1004입니다  😁😁😁  아이스1파는곳😘 후리😉  차가운술 아이스작대기  졸피뎀 😉
2,솸모닝😁 이제 좀 정신이 든다 0
3,655 나중에 나랑 꼭 같이 먹으러 가자 맛있은 곳 많이 알고 있으니깐😁
4,에이티즈게릴라세상을깨워        에이티즈 エイティーズ   아까랑 같은 사진이라서 미안해요😁 1
5,이 세분이 넘잘나옴 😁💙💙💙 5
6,ᅠ ᅠ ᅠ ᅠ    1  ﹒😁 ᅠ ᅠ3
7,영재시😁
8,아닛 ㅋㅋㅋㅋ 너무 귀여워요😁😁
9,5748 다 덤벼 21이닷😁😁👍👍👍👍
10,109 역시 팬들은 덕질대상을 따라가는 법 백구가 다정다감하니 팬들 성향도 그런가봐요ㅠㅠ 댕댕쌤 포함 견주 분들 진짜 다정다감 그 자체😁
11,0325 이쁘넹😁😁
12,나도 트친 메뉴판 올릴거얌🤍 새로운 트친분들이랑도 친해지면 좋겠다요😁 기존에 알던 트친들이랑도 더 친해지면 좋겠구 〰️💗
13,9791  얼굴로 대통합😁
14,15713 팔로우 감사합니다 잘부탁드려요😁😁
15,지민이 인별 왔다 야무지게 호비형 태그도 하고 ㅋㅋㅋ 이제 리그램 인스 올리는 거랑 인별 라이브만 하면 되겠당 😁😆 아놔 지민이 왤케 귀엽지 293
16,15566259  8504  13   1204 1 0912 1230 내꼬 벙글님😁  항상 같이하구있어욤🥰
17,그건니남편이구요 제남편은창균이와원우입니다😁
18,31일째 뮤까페가 끝나니 먼가 허하고 멍하네 까페가서 뮤 얘기 잔뜩하면서 놀고 싶은데😁 뮤뮤 어케 행사 한번 더 해줄래쌤들 만나서 놀게뮤뮤 와도 귀찮게 안할게🤣🤣날씨가 넘 안좋다이런 날씨는 날 음식 조심해서 먹어야해 ❤    1
19,홧팅 다들 급히 가시더라구요 그러니 좋은 자리도 가능할지 몰라요😁
20,택운아☺️ 오늘 공연도 다치지 않게 조심하구 힘내서 잘해애😁 응원하고 있을게❣️
21,06137 1986  0613   사랑함돠💜😁
22,오호 축하축하😄😁😉👍
23,삐약삐약       🐣🐤🐥 😁
24,자세한 내용 감사합니다😁
25,지네야 어서와 😁 7
26,961122 오맞네😁💋 아쒸 반갑다 얘뾰😚❤️자주보자뾰💋
27,기쁘다😁😁😁😁😁
28,그럼 두 번 세 번 축하해드려야죠😁😁😁 즐거운 하루 보내셔요
29,제가 한요리합니다😁
30,소신발언 보이는 브이앱보다 보이스 브이앱이 더 좋음 본인 한가지에 집중 못해서 브이앱 켜놓고 가만히 화면만 보고는 못 있음 😁
31,724 ㅋㅋㅋㅋ꼴깝 한다 싶죠😁😁😁😁
32,효진아잘지내지 329  효진☔️ 비가 엄청 많이온다아 ㅠㅠ🥹 곧 메이사 공연 있을텐데 나두 너무 보고싶어 ㅠㅠㅠㅠ 돈 버는게 뭐라고 😞 비 조심 차 조심하구 목 관리 항상 잘 해서 아프지 말구우 보고싶다 ❤️‍🔥 내일 진짜 좋은 날인데 그치 ㅎㅎ 내년에는 꼭 다함께 보내자😁 사랑해애 36
33,축하드려용😁
34,오늘도지각😁😁🙏🏻
35,1126 아직 확정은 아니라서 변동 가능성 낭낭하지만 토요일 니키 피쳐 일요일 레이메이 카나메로 거의 확정이에요 😁
36,3719 어머 ㅋㅋ 감사합니다 😁😊😊
37,바보 😁 81
38,0 꺄❤️ 고마워용😁😘
39,짐을 챙기다 어렸을때 찬 전자시계가 있었다 돌핀시계 이게 여태 왜 있는지 알수 없지만 아버지가 나에게 처음으로 사준 시계이다 이거 파텍필립보다 더 귀한 시계가 되었다😁
40,현생과 텅장은 일단 보고나서 걱정하는걸로😁😁
41,😁20220730 공부인증😁 나름 꽤 열심히 한 흔적  라니공부했다 73
42,11 그 봐요 꿈꾼다니까느 😁😁
43,😁 리트윗 팔로우 순으로 순서대로 정리해서 디엠드립니다 원본 고화질  디엠창 열어놓으세요 섹트 맘눌피 일탈스타킹 폰섹 맘눌뎀  5178 67
44,통영갑니다😁😁
45,나 어제 일단 계약서 사인하고 팀원분들 인사하고 그랬는데 너무 다 좋은 인상과 인사를 해주셔서 나 너무 좋구 나만 잘하면 되겠구나 싶고 두근듀근 세근네근 😁
46,야호 킹키 예대 터졌다 양도 받은 날이랑 같은 날이야😄😁  친구야 기다려라ㅎ
47,원우 덕에 나도 요즘 😁😁 이거 마니 쓰자나
48,네 그때 뵐게요😁
49,형아 가지마 나랑 더 놀아😁 34
50,물병이 안 세워지니까 중간 중간에 아 이러는거 넘 귀엽고 웃김ㅋㅋㅋㅋ 성공하고나서 뿌듯한 표정😁 전에도 몇번 봤었지😆 312
51,3 소율님도 8월한달  잘보내세요 😁😁
52,717 아뇽 저는 출근시간이 이르지 않아서 원래 늦게 자는 편이에요 😁 바다님 얼른 주무셔야 ㅜㅜ
53,11  죄 없는 사람을 웃음거리로 만드는  김기천 같은 분이 이상한 걸까요  아니면 제가 이상한 걸까요 잘 생각해보시길 바랍니다  아 그리고 트위터 말고 본업을  조금 더 열심히 하셔야 겠어요😁
54,뭔 형아야 콱씨 여기 노맨존인데 빨리 안꺼져 라고 할뻔😁
55,001919 넵우하하신난다😆😁😁
56,830971 큐큐큐 근면성실하지만 한 18등정도 하는 착한 학생느킴😁🤣🤣
57,귀엽당 우리 호비😊 웃는거 보니까 나두 같이 웃게됨😁        9
58,5 그렇군용 ㅋㅋ  이누야샤 매력있죠 😁
59,😁 책 어린이집행사 먹다지친날
60,1210 ㅋㅋㅋ 묶기전에 눈총맞아 전사할지도😁😁😁 꼭 만나게되길요😊
61,💺🔏😁✈✳ 리트윗 팔로워 많이 해주세용 하트달면 디엠받아줄게용 섹트 섹파 경기도 가슴 인증  69
62,06130709   두분대화가 잼나서 😁😁👍
63,08 헉 샘 요즘 제 탐라에서 존재감 뿜뿜💖 반모하구 친해져요😁
64,00 와우그림 넘 예쁘네요 반갑습니당 😁🥰
65,업으로 만화가나 음악을 하지못해 한이 맺힌 관계로 사무소를 차리게 되면 돈 없어서 미술과 음악을 배우기 힘든 아이들에게 지원을 아낌없이 하겠습니다😁  이것때문에 죽을때 눈 부릅뜨고 죽을듯🙄
66,빡구님말대로 쌍화차에계란동동입니다😁
67,ㅋㅋ그리고 무조건 널 좋아해줄 1명들 그 중 하나가 나인건 알지😁 네가 돌아와서 기쁘다🥰 용기내줘서 고마워 사실 나는 음 이제 너를 조용히 응원해왔던 팬들이 돌아오고 있으니 윤우는 이제 없어도 되지 않을까 싶기도 해😶 그런데 좀 마음에 걸리는건ㅋㅋ 내가 뭔가 널 불편하게 해서 나를
68,담 주 수요일에 디엠 합쉬다😁
69,264  안녕하세요  교복 작업 자신있습니다😁 자세한 사항은 링크 참고부탁드립니다🙏 흑백 로그 커미션 70
70,9주년 기념 옐로님 나눔뱃지가 도착해쑵니다 🥹🥹 포카들까지 하나하나 모두 소중합니다  나눔 감사드려요💜 예뿌게 간직하겠습니다😁💜 62
71,여러분 오늘 ;도원차트; 하는 날인 거 모두 잊지 않으셨죠😁 　 오늘은 드라마 를 주제로 한 랭킹을 만나실 수 있다고 하는데요❗ 　 찬또와 음악 랭킹을 같이 즐길 수 있는 ;도원차트; 보러 🥰 　 이찬원  도원차트 스카이이앤엠 96 40
72,유네스코 수트 에스콰이어 화보 바꿔지네 왔어요 😁  이게 다 오늘이라니 심장 아파 ♡ ♡ ♡
73,001 그래도 읽으신다는 것에서 의미가 있는 거죠😁👍
