,tweet
0,와 사진 멋지다👏👏👏
1,원서 제출 완료 👏👏 수고했다 장하다 나
2,임영웅손이참곱던그대👏콘마다화제만발터치미터치히어로간택ㅎ을 원하는중전들의 손짓🤣  오직 스포티파이임영웅 과 함께해요👍  임영웅   스포티파이   임영웅다시만날수있을까  임영웅무지개 임영웅아비앙또 임영웅손이참곱던그대   4
3,우왕 너무 멋지신데여👏👏👏
4,7월 한달 쫄쫄 굶느라 너무 힘들었는데ㅜㅡㅜ 8월 한달은 포레를 6번 이나 본다😭😭 이번주 수원 다음주 대구 마지막 주 앙콘까지 축제다🎉 풍악을 울려라아✨🥳 텅텅 지갑은뭐 어떻게든 되겠지😉  이번주 쫌만 빨리 갔으면 👏👏서둘러줘
5,더이상고독하지않을순례자에게 스타스트림에패왕유중혁탄신축하의함성이널리퍼집니다 8월의기적유중혁생일축하해   중혁아 생일 축하한다 👏👏👏 네이버 시리즈는 너네만 그런 거 갖고 있지 말고 당장 포카를 팔아라
6,헤이즈  없었던 일로   71    🤩🤩🤩🤩🤩🤩🤩🤩👍👍👍👍👍👏👏👏👏👏👏👏
7,131 덕후는 계를 탄다 👏👏👏
8,49분 클리어 추카드립니다👏👏
9,📻 월 고희꽃바구니 양양 제주   👏
10,디즈니스킨 👏
11,진짜진짜 축하행👍👍👏👏👏👏👏
12,오구 잘한다👏 잘한당👏 54
13,당신은 너무 잘했다 👏👏👏🥰🖤 891
14,헉 와르르님 애기 성덕 됐네👏👏👏
15,88 ㅜㅜㅜ같이 힘내봐요👏
16,19910425 생일 축하합니당 🎉👏
17,171714 드디어 축하드려요👏👏👏
18,임영웅손이참곱던그대👏콘마다화제만발터치미터치히어로간택ㅎ을 원하는중전들의 손짓🤣 내손을 잡아주 오직 스포티파이임영웅 과 함께해요👍  임영웅  스포티파이  임영웅다시만날수있을까 임영웅무지개 임영웅아비앙또 임영웅손이참곱던그대  751
19,둘이 같이 있겠단 의지에 눈물을 흘리면서 박수를 칩니다😭👏
20,루카 타마랑 👏🥳🥳
21,따앟 아쉽네여 그래도 이기시고 오셨다니 장하다 장해👏👏
22,호바한국 콘 꼭꼭 ㅂㅎㅌ인지 ㅎㅇㅂ인지 언능 추진시키길👏👏👏
23,07072019 공감요👏👏👏👏👏
24,1112 항상 감사드립니다👏👏🙇‍♀️
25,ㅠㅜ 제가 한게 모 있다구요 ㅎㅎ 넘 대단하셔서 칭찬 와방 해드리고 싶었구 대견스러우신 걸요👏👏 저는 하루 두캐릭터는 잘못 하겠 던데 와방 신기해요🥰
