,tweet
0,00 전 진짜 안 귀여워서 안 귀엽다 할 뿐입니다🙄
1,아 생각나 버렸잔아요🙄
2,놀림만 당하다 간다 ; 사실상 매번 그런디 🙄
3,818193 토끼랑 강아띠도🙄
4,스티커 다 받으신거 같아서 올려보는  사실 이거 전에 기본 상태대머리옷없음가 재밌어서 올리고 싶었는데  그걸 또 저장을 안햇더라고요 🙄 극 흐름 순일거에요 아마두 1
5,🙄🙄🙄 매실효소담기 여의도메이크업샵 서종 박가네빈대떡 침산맛집 안전문화체험 연휴잘보냈다 성장발레 삼봉이네 🙄🙄🙄
6,봇대숲11765 아니 달님 진짜 귀엽다니까  🙄
7,33 35 당일치기 여행 가장 좋아허는 성향덜🙄✨
8,당연하지 휴런 어린이가 너보다는 크잖아🙄
9,귀여움라이팅 또 시작해따🤦🏻‍♀️🤦🏻‍♀️  그림 저 한 달에 한 번씩 올리믄뎁요🙄🙄 너가 더 귀여운뎁요🙄🙄🙄
10,사실적시인데 왜 죠 🙄
11,전 가을웜 딥 이어요 ㅋㅋㅋㅋㅋ 파스텔과 상극 🙄
12,꼼데에 카고 에바야ㅑㅑㅑ 박정우 🥵🥵🙄🙄🙄 0
13,어머머머머 우리 지민이 가나봐요😍😍 홉이 응원하러 가나봐요🥹 근데 왜 혼자가꾹이랑 태형이도 같이 가지🙄 다들 바쁜가🙄그래도 오늘 지미니 얼굴 보겠다 희망찬 아침이구나😍💜😍💜 방탄소년단지민
14,맞아요ㅠㅠ상황이 진짜 오히려 일개 팬들이 뭐라고 지랄 시부리던 말던 본인의 위치와 무게를 안다면 그렇게 안했을건데 너무 개인의 감정에 따라ㅎㅎ어떻게 흘러가게 될지🙄    322
15,인용 대화가🙄
16,0412  오석이 오늘은 없는거야🙄      방탄소년단진
17,그리고 킹키 전체적으로 동선이나 대사 좀 수정되지 않음 진실 진실 이부분 원래 중앙에서 하지 않았음 오늘 중왼블쪽으로 와서 하길래 놀랬음 🙄
18,가챠가 그런거긴해 🙄🙄🙄 81
19,오늘 지민이 나시 작년에 민정이랑 홀리스터 가서 산 것으로 추청되는 나시🙄 9457 4
20,미츠갔다 노래방 갔다 복귀하고 온라인 체크인 완료 눕코노미는 글렀다ㅠ 사람 엄청 꽉참 오늘 가는거냐고😳😳🙄🙄🫠 502
21,부업하고싶으면 연락하라는 스팸이네요🙄 요즘 저도 저런거 많이 와서
22,진심 키스 갈기는줄 알아떠🙄😇
23,28099677 헐 어떻게 그럴수가 지앤하 보다 전체적으로 훨씬 강렬한 극을 봐야 기억이 나는 걸까요 아님 너무 강렬해서 기억이 안나는 걸까요 말도 안돼🙄🙄 전 첫뮤 프랑켄 데려가서 뮤 라이트하게 입덕시켰는데
24,🙄 실력 좀 늘었나 싶었는데 이제 겨우 새싹이네
25,🙄💦 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
26,할 부러워요 🥺 제 블타는 언제 올까요 🙄🙄
27,🙄🙄웁스 이거 좀 부끄러운걸
28,개커여븐데 너가 더 커여버🙄
29,ㅎㅎㅎㅎㅎㅎㅎㅎ행복하면대ㄸ😆😆🙄
30,ㅋㅋㅋㅋㅋㅋㅋ 생각해보니 틀린 말도 아니야 광탈을 당하는구지 🙄 다음엔 꼭 손잡구 팬싸 가
31,4  큐티뽀짝한 와님밖에 안 보이는데 무슨 소리예욤🙄🙄 다들 옷 넘 예쁘시고 재미있으셨겠네요 즐거운 시간 보내셨나요
32,근데 안올 것 같아여 비 표시는 항상 있더라구여 기상청 못 믿어여🙄
33,04043030 아무래도 쿠키말고 용돈을 줘야겠어🙄🙄🙄 그래도 말 잘 듣고 무지성으로 뿌리지 않아서 기특하다 기특하다 쓰담쓰담
34,0409 유니폼 값 좀 모으려고 햇는데 금방 모을 것만 같아요 샘 이런 큠쪽이들 🙄
35,어머 너무 예쁜 하늘이네🙄👍❤️
36,22 헉쓰 사장님과 알바생의 차이는 있지만  근데 이상하게 전 탕수육은 안 질리더라구요 잘 안해줘서 그런가 🙄
37,10015743 아기였어요 🙄
38,때찌때찌🙄
39,🐣순둥겸댕 강승윤🐣 😊위너 굿즈에서 향수를 꺼내어 칙칙 뿌려본다😊 근데 향수 맞나 🙄😃 03
40,한국 남자 소리지르고 윽박지르는 것 좀 드라마에 이제 안 나왔으면 좋겠음🙄난 누가 옆에서 시끄럽게 소리지르면 아 시끄러귀 먹었어 벌써 귀 안들리세여 했던 거 같음🤔
41,85105 아 스티커는 나눔이 아닌가여🙄
42,오늘 드디어 킹왕짱 귀여운 섹시 핫 보이 울보 고양이와 77일입니다 100일 언제돼 시간아 달려77일 되면 77자라더니 막상적어보니 그게 그거 왜이렇게 적져🙄😚 36
