,tweet
0,장당 04에 양도합니다😂  6장 세트는 준미포 20💕 6
1,이제부터 건전한 트윗을 하는 사람이 되겠습니다 아침되니까 자괴감이 몰려와😂
2,112 넘 게으르게 늘어져 있어서 갔다왔어요 😂 됴기님 행복한 하루 보내세요 🥰
3,아아아  대충 의미는 다 맞았군요ㅠ 감사합니다😂😂 일어는 5 준비중인데 저것도 쉬운 한자여서 그나마 맞췄네요
4,00 저도 일어나자마자 생각나서 울뻔하긴했는데꾸욱 참았습니다😂
5,지금 대기 중인데 출혈 디버프 터질 것같아서 조마조마해 11시 오픈 구매 끝날 때까지 안 하겟지 😂
6,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하 진짴ㅋㅋㅋㅋㅋ 너무 웃겨요 초딩도 아니고 😂
7,차니가 가사 틀리니깐 황당해하는 케빈이랑 상연이 짱웃겨ㅋㅎ 상연이는 무슨 심즈냐고😂 34
8,ᅠ    ᅠᅠ                   😂 ᅠ  ᅠ 0
9,14 왜 알람이 안왔찌ㅠ 이제야 봤어요😂 이것저것 모아서 가취 도전해 봅시다 가보자고
10,99 트위터 들어왔는데 환구님이 없다 한 1년을 오열하고 평생 아 그때 환구님 나를 정리하셨지 할 거예요😂
11,🌕여러장르를 파는 잡덕이니 타장르 유입을 꺼리시는 분은 블언 해주세요😂
12,네 생각보다 되게 일찍 와서 놀랐어요😂
13,33 삼규 솸모닝 이틀을 저녁마다 놀았더니 넘 피곤해😂😂 이놈의 체력 ㅋㅋㅋㅋ 그래도 아침부터 서함이 봐서 넘 좋아❤️‍🔥❤️‍🔥 삼규도 오늘 솸팅하는 하루 보내🫶 0
14,5 전 요 근래 자꾸 아려요흑흑 829에 뽑는데 의사가 그 전까지는 진통제로 참으라네여😂😂😂 염증 제발 나지 말아줘💦
15,오늘 휴가내고 탑건 4차 찍으러 가는 중 이제는 변명도 안 함 😂😂😂😂😂
16,태용아 어제도 오늘도 내일도 많이 사랑해😭😂😭😇😭😇 최고야  하염없이 쓰담 45
17,그러게요 빨리 해결됐음 좋겠어요😂 감사합니다
18,와 소곱창도 진짜 맛있을것같아요😂 2박3일 일정인게 아쉬울정도에요ㅠㅠ 추천 감사해요
19,오빠 저는 찍사가 훌륭하지못해 제가 스스로 찍어야되요 😂 자극언니랑 쩡이언니는 찍사가 훌륭해서 ㅜㅜ
20,1206 저 사는데는 검색어 암것도 안걸려요오옼 이게맞냐구요 솔플합니다 울지않아  슬플때웃는자는 일류가 아닌 가면우울증에 걸린다😂
21,😂 한국 음식을 좋아요 유튜브 통해서 요리 배웠어요 99 9
22,📋 양세형 한식스타그램 기아  😂
23,어제 한시간 팔흔들며걷기했다고 약한 근육통이😂
24,아씌 이게 머야 아주 욕망을 끊임없이 우보그보쌤꺼 보면서 힐링할래😂😂 56
25,헐 그 찰나에 그걸 보시다니 부끄러버라 달리님 네일도 짱 옙브셨다구요ㅠㅠㅠㅠㅠㅠㅠㅠ 전 완전 허접인데😂😂
26,환장하겠네 😂  새 집와서 놀랐는지 둘다 개구호흡 쫌씩 하고있는데 와중에 엄청 열심히 돌아댕기고 있어
27,25  옴마나 윤기댁님 방모닝💜 제 작품은 아니지만🤣 윤기랑 잘 다녀오세요 이께 조아해주시니 감동은 눙물이😂😂 오늘 즐건시간 보내고 오셔요💜      30609
28,2 😂😂😂우째요
29,😂 인디캠핑모기장 그림그램 야탑팬더티비 대학원가기
30,어제 결국 늦게 잤다는🤣😂
31,전 믹킈만 나온😂
32,누카니발 친구 구해요 생각없이 본계 부계 미접 정리 좀 했더니 자리가 많이 남네요😂 친구 자리가 남으신다면 넷 다 신청해주심 감사합니다  본계  367364829 부계1  198870726 부계
33,건대입구 신대동집 곱도리탕  양도 많고 사장님이 너무 친절하셨음❤️ 사진에 나온 게 소짜 낭낭하게 챙겨먹을 수 있었고 야채랑 당면이 진짜 맛있다 곱창은 미각 예민하신 분은 냄새가 좀 난다고 느끼실수 941
34,1 빈이 달고나 경기 때 도전할 때 돈벌기 어렵다고 할 정도로 웃겼는데 04즈가 아이돌인데도 이렇게 말하는 게 정말 웃겼어요😂🤣 정말 귀여워요 ;;  651
