,tweet
0,지미나 잘 도착했구나 늦게 봐서 미안😂  뭐든 다 원하는 대로 잘 하고 좋은 시간 보내고 언능 와 💜  지민  192
1,오늘의 뮤비 분위기 몽환적인거 너무 예쁨😂 3
2,비가 촉촉히 내리네요 ㅎㅎ  빗소리  너무 좋네요 ㅋㅋ 😂 😆 😍  토끼는 아침식사한다고 정신이 없네요 🐰 💦 😂  🚶‍♂️ 🚶‍♂️ 🚶‍♂️ 산책으로 하루 시작합니다 ㅎㅎ   사천 7673
3,비오니 새똥 치우자😂😂😂
4,ㅋㅋㅋㅋㅋㅋㅋ아그러샤😂🤣👏축머리 않은 미래에 글 캡박으로 조리돌림 예약🤗😂🤣👏👏👏
5,안그래도 요즘 계속 시도때도없이 아파서 병원이라도 가야할까봐요😂😂 앤오님도 목 안다치시게 조심하면서 그리세요
6,18181 건전한게 뭔지 모르신거 아닌가요😂
7,광기 정말 😂
8,18 일단 오늘은 하루종일 누워있기 😂
9,오늘 무슨 날일까 지갑을 두고옴 불행중 다행으로 가방에 굴러다니는 카드 하나가 있었다😂 선물로 주기로한 식물 잎도 찢어먹음ㅠ으아
10,0329 살려고 몸부림 치는 중입니다 안하면 더 아픈 몸이더라구여😂😂😂 아트님도 간단한 스트레칭을 매일 한번 해보세요 😉👍♥️
11,미언론 글 부정할 수 없는게 🤣😂🤣😂 자기밥그릇 챙기기만하는 남핑계만 대는 이슈거리 만들기 바쁜 나라걱정보다 자기몫권력만 탐하는  한국경제보건 나락으로 끌고가는 정치 쯧쯧쯧  美언론 尹 미국에 너무 053
12,😂 너만행복하다면야 사진스타그램 인공수정임신 아장아장걷는딸
13,네 요새 넘 끝내주는 방학을 보내서 그런지 트윗 잘 안 올리고 그랬네요😂😂 재촉하는 사람이 많아지면 전 오히려 좋아요😎👍
14,منم یه ماهی هست فهمیدم 😂       엑소 사랑하자  엑소 92
15,아직  완성도 못했는뎁😂
16,아고 그런 뜻이 아니었는데ㅠㅠㅠ 지금도 늦긴 했지만 빨리 주무세요 패턴 망가지면 건강 나빠져요😂😂
17,😂 그쥬어디하나 해당되는게있어야졍ㅋ
18,서울사는 트친중에 화요일에 쉬는 분은 없겠져 😂
19,트친님들이게뭐에요오오오😂😂😂😭😭 321
20,비공개 글인데 설마 저한테만 안보이는 건 아니죠😂
21,21  전 이불 정리는 합니다 경수랑 조금이라도 비슷한 구석이 있고 싶어요 😂
22,머글친구가 누구야 유재석 라고 한 순간부터 유재석으로밖에 안보입니더😂😬
23,정모 참여😂
24,난 자고일어났다가 또 잘껀뎅😂 언능 누워 언니랑 코 자자😁😁❤️
25,다자냐😂😂😂😂
26,인아난 아닌 피위는 노래 못하는거 같슴다😂
27,셋째의 찰진 발바닥 찹찹우다다소리를 듣고 깼다 모닝콜이 따로 없네😂
28,210913 설화맥주 진짜 지금보니 도배되어있는 슈퍼엑스😂 요요하는 이버 기특해 아주 🥺
29,상담 치료를 하면서 트라우마를 조금 세게 건드렸는지 나흘이나 아팠네요 😂 오늘부터는 새로운 나날이 시작될 거라고 믿어요  우울은 수용성이라는 거 꼭 기억하시고 아플 때는 귀여운 것을 잔뜩 보기로 해요
30,😂 반구동출장샵 패션스타그램 나주시훈녀 연동면출장안마
31,아앗 감사합니다ㅠㅠ ㅠㅠ😭😂🥰🥰 좋게 봐주시니 다행이에요☺💕
32,7월 31일 일요일 봄툰 피너툰 출석체크하세용😘😘😘  7월달도  의 알람덕분에 무사히 봄툰 완출했어요😘😘😘 피너툰 출첵은내가  한테 출첵 알람줘야지🤩🤩하고 설레발치다가 월초에 하루 98
33,보정인간인 거 들킬 게 뻔해서 마스크를 사수해보려고 합니다😂
34,0601 자본의 노예는 새벽출근 했답니다 ㅠ 아보님 이제 꿀잠 주무셔야😂
35,심심해서 귀도 달아줫는데 그냥 내취향다넣은류적연이됨😂 0
36,메인트윗 확인하시고 꼭 양식 디엠주세요😂 양식나이 지역 하시는날짜 시간         얼굴 반쪽사진 필수 뚱뚱하다고 적혀있고 프본이고  화장안하고 나갑니다 대연동이에요 양식안보내시면 답안해드려요 부산펠라 83
37,ㅋㅋㅋ 진짜요 ㅜㅜ 진짜 유지만큼 선한캐릭터 본적이 없는 고죠는 뭐 굴러도 맘 덜아픈데 유지 구르는거 맘찢겨서 보기 힘드네요 흑흑 😂
38,90 뚠뚠이라 살 더 빼고 다음기회에 지원해보기로 할게요 😂
39,남포동 많이 변했겠지 추운 겨울날좁은 골목길을  걸었던게 생각난다😢🥺 애틋한 기억이다 올해 겨울에는 부산을 가볼까몇년만이지  고향이 부산인데 안간지 너무 오래 됐다😂
40,낮에는 바쁘고  새벽감성터진다 자야는데 출근 어쩔겨 꺄루루 😂
41,아 ㅠㅠ아까 퍼레이드에서 퇴장할때 돌아보니까 로자있어서 ㅠㅠㅠㅠㅠㅠ넘 설렜는데 ㅠㅠㅠㅠㅠ괴도님일줄은 ㅠㅠㅠㅠ힝 히잉 ㅠㅠㅠㅠㅠㅠ근데 괴도님뒷태밖에못밧지만 끝내줬습ㅁ니댜 ㅠ ❤️👍😂
42,허억 저는 보톡스😂😂😂
43,지금이야 보고웃지만 뉴욕에서 직접 저런 좀 비틀린 사람에게 당하니 진짜 웃음이 안나오더라구여😂😂
44,누더기야 뭐야😂 작은 잉구기 하나라도 더 살리려는 눈물나는 노력😇 8
45,ㅋㅋㅋㅋㅋㅋㅋ그래도 어항도 효과가 있으니까 그정도도 효과가 있을거에요😂
46,하 진짜 공감돼 나도 왼손잡이라 😂😂😂😂
47,따흐흑 하브를 가긴 해야하는데 아직 좀 두렵긴 해요😢😢 저도 슬슬 스커로도 하드 내부 연습해봐야겠어요 메인은 못 가지만 서브 갈 수 있을 정도면 괜찮지 않을까요😂😂
48,정국의 볼을 꼬집는 태형 😂  정국 태형   132838
49,2 날쌤 잊모닝입니다😊 이쁨 받고 우쭈쭈 받는 분위기에 미소지으며 봤어요😂👍 행잊데이 되세요😊
50,0125 쌤 잊모닝입니다😊 짤 넘나😂👍 오늘도 건강 챙기시고 행잊데이 되세요😊
51,오늘노느라바빠서 모래찜질하는신이치로만찍엇음😂
52,아앗 아인님 봄툰 매일 가는데😂😂😂💦💦💦
53,😂 테리어 자영 비숑프리제주점 음주운전   ⛴⛴⛴
54,선생님 제가 일요일에 부스를 여는 부스러입니다 혹시 일반인분들이 들어오기 전에 아야토 토마 포카를 구매 할 수 있을까 싶어 이렇게 멘션 보내봅니다 너무 늦은 시간에 멘션 드려 정말 죄송합니다 😂
55,0316 가끔만 먹어야😂😂
56,2 아씽 왕벌의 비행 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저 지금 혼자서 낄낄거리고 있어욬ㅋㅋㅋㅋㅋㅋㅋㅋ 아이돌 노래 중엔 링딩동이 제일 어려웠던 거 아시죠 😂 아 덕분에 추억팔이 제대
