,tweet
0,2  뉴진스  울 짱진스 데뷔하자마자 스춤이라니。❤️‍🔥 청량미 뿜뿜한 어텐션 그리고 뉴진스를 스춤 특징인 스무스한 무빙과 최고의 화질로 볼 수 있어서 보는 3분 23초동안 너무너무 행복했어요 ؔᶿ̷⌔ؔᶿ̷♡ 스춤뉴진스 최고 ჱ̒ ｰ̀֊ｰ́ ᐟ 아기 햄냥이 해린 폴라는 유채에게로😻 15503
1,잊모닝💛  어제 쭈노보고 어레스트 ❤️‍🔥  9🎶 7
2,제가 꼭 안드도 명찰반지 끼게 해줄때까지 문의하겟습니다🔥🔥🔥 빨간명찰 못생겼다 🔥🔥
3,락원아 🥺🥺🥺❤️‍🔥 721
4,스테이씨 앨포 같은 버전 수민이로 교환 구합니당 팬미팅 현장 교환 조아요이❤️‍🔥 709
5,220803 벅스 스밍인증  7시 ❤️‍🔥   에이티즈    6
6,하트 드림 어워즈 투표가 최애돌 앱에서 진행중입니다 방탄소년단이 1위로 마감할 수 있도록 많은 투표와 독려 부탁드립니다🔥 드림어워즈투표불을지펴
7,감사합니다 ☺️❤️‍🔥 응원해 주신 덕분이에요👍
8,스밍 인증 🔥20220803🔥  3시  지니   에이티즈    370
9,더보이즈 더비존 첫콘 교환  나 첫콘 10구역 5열 ❤️‍🔥 첫콘 플로어 극싸제외 어디든  중콘 막콘
10,비스크돌 이번주 합니닷 드디어나도🥹🥹🥹❤️‍🔥
11,‍🔥 미시연애 수영보컬학원 라리가  🛡
12,봤을 때 굉장히 흥분했어요🧘🏻‍♂️❤️‍🔥‼️계속 버니의 날이 이어졌으면 좋겠습니다🐰🐰🌼💕
13,25 감사합니다 역시 색시한녀석을 보니 힘이 불끈불끈하네요🔥🔥🔥🔥🔥🔥
14,4 하 저 저번에 어디에서  어쿠스틱 버전 듣고 무슨 노래인지 찾고있었는데 진짜 감사합니다ㅠ 샘 제발 플리 공유해주세욬ㅋㅋㅋ 아 진짜 샘 무슨일이신가여🥲❤️‍🔥
15,아 임찬규칭찬할뻔 꾹참고이따해야지 🥺🔥🔥🔥🔥❤️🖤
16,사랑해요 ❤️‍🔥 59
17,꺄 앙 애쿠가 미튜❤️ 해줬는데 당연히 뜨겁게 ❤️‍🔥해줘야 기사단장이죠덩달아ㅋㅋㅋㅋ 히유 능력만 더 좋았으면 함냐상 부정청탁 교권박탈교사로 만들어버렸을텐데 너무 안타깝네요 평생 교편 꽉 잡고 마앺탐라 기강 잡아주세요🤦‍♀️💖
18,아린 공주님 쪽 🥹🥹❤️‍🔥❤️‍🔥❤️‍🔥
19,218 5  🙄🙄 호석이가 그렇게까지 사람을 돌게 만들줄은 몰랐쏘요 죄홉🔥🔥 걱정시켜드려 죄송합니다👉👈
20,🔥 일상 서울  김포 여우   💘
21,꼬들 214 36 33 🔥  ⬜🟨🟨⬜⬜🟨 🟨🟩🟩🟨🟩⬜ 🟩🟩🟩🟩🟩🟩
22,아무리 불타올라도 머리카락은털이겠지에서나온 적폐망상 🔥 56
23,기약 그죠 저도 기억해야겠다 싶어서 트윗햇어요 헉 감사해요 아포포님🥺🥺 아포포님이야말로요 ❤️‍🔥❤️💓💝💕❤️🧡💛💚💙💜
24,엄망 이제 디저트 타임이양  ㄴ 뜌멍아 밥먹고 디저트는 국룰이당  맛있게 먹도록 하즈아🔥🔥🐶 4
25,포토북 하나사고 당첨돼서 팬싸가는 녀성 여기있다고 보여주자고요🔥🔥🔥
26,감사합니당❤️‍🔥❤️‍🔥
27,파이팅🔥
28,뒤집어지시면 완전 서커스 아니냐구요ㅠㅠ 수지에 의한 수지를 위한 수지에게 바치는 불타는 사랑의 서커스 막이러기ㅠㅠㅠ 💜🔥🎪🔥💜
29,우웃 저도 맹님 사랑하는거 아시죠❤️‍🔥❤️‍🔥❤️‍🔥
30,22 웅🥹❤️‍🔥 93
31,담에 또 봬오❤️‍🔥❤️‍🔥 0
32,95 안녕하세요  헙 저 금욜에 소 발동했었습니닷👉👈  팔로 감사합니다 저야말로 잘 부탁드려요🔥🔥👍
33,화살든 벨리🔥  벨리곰 벨리곰 벨리곰디스코드   3
34,43 헉 거리유지 생각해보니까 물리공격에만 통하는거였네요 몰랐던 사실 알고갑니다후레탱 장판 피하기 애매하면 앙갚 냅다 넣기메모메모 하ㅠㅠ 덕분에 탱커할때 좀 더 자신감있게 할 수 있을거같아요 완전 좋아요 저희 함께 즐거운 탱이 되어봅시다 🔥🔥
35,오직님 퐈이틩입니댜요❤️‍🔥❤️‍🔥
36,17 웅 ❤️‍🔥
37,👑🔥  블랙핑크 리사  리사  블랙핑크    59 8
38,트루 최고시다🔥🔥🔥  ทรู5พาไบร์ททะลุจอ  5  8
39,🔥코로나 잡는   30위 피엠 33위 카야니 34위 암웨이 🔥전 세계 면역력  1위 또 1위  2 🔥 월 5만 원 제품으로 내 건강 평생 지켜주고 1 앞으로 생길 병까지 검진 건강관리 길도 있어요  ◇안내 010 5475 7080한영만
40,0 헐 너무좋아요❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
41,ㅋㅋㄱㄱㅋㄱ 허 참나 알티해도 머라해어의업써 알게써요❤️‍🔥❤️‍🔥❤️‍🔥
42,머지않아 짧은 시간 내 계층간 격차는 말도 못하게 벌어질거야 하지만 하나는 약속하지   우리는 환경 배경보다 각 개인의 마인드와 잠재력을 우선으로 봐  장기적으로 지켜보고 있으니  힘든 일이 있더라도 절대 포기하지 마시게   곧 찾아갈테니까 서둘러야겠군🔥🐉 10
43,1117 어 뭐지 나 지금 잠깐만 무릎 꿇을게엑  미안해  🤦🏻‍♀️🥺💦 ㅎㅏ 이런 언니라두 이해해줘 🙇🏻‍♀️😭 나 왜 리스트 안 담아뒀냐고 당장 간다 🔥🔥🔥
44,다구리깝시다 시빡🔥👊🏻👊🏻👊🏻👊🏻👊🏻
45,080322 💚🫧 933     더존 티저랑 포스터 떴쟈냐쟈냐 어때 어떨거 같애 🤣   ㄲ ㅑ 두근 세근 네근 ❤️‍🔥                   🤣          ❤️‍🔥
46,오후 8시    🔥 에이티즈 게릴리 벅스 스밍 인증샷 🔥  📢  📢⠀  에이티즈    18
47,꼬들 215 56 746 🔥3  ⬜⬜⬜⬜⬜🟨 🟨⬜🟨⬜🟨⬜ ⬜🟨🟨🟨⬜⬜ ⬜🟩🟩⬜⬜🟩 🟩🟩🟩🟩🟩🟩
48,모두의 익명 질문을 모집 중  최근 답변한 질문 ● ☕️🧂🧂  ❤️‍🔥 질문상자 익명질문모집중  51
49,연정날 연정시  햅삐예삐데이❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥     0803뜨거운태양아래빛나는연정이의오늘 1
50,33 바니님 절대 밑으로 못보내요❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
51,쏘핫🔥 영탁 0727
52,갸악 인알 확인이 늦었어요ㅠㅋㅋㅋ ㅋ ㅋㅋ ㅋ 초기니키 요즘 넘 땡겨서 마침 바니걸의 날이겟다 냉큼 그려버렸잖아요🔥🔥🔥🔥🔥 히히로도 그렇구 니키도 그렇구 둘다 퉈끼로 제가 만들어버렷군요 귀여운 연하들🐰🦊
53,덕개님 유튜브 3주년을 축하합니다🔥🔥 06
54,그가 천사인지 악마인지 모르겠다                                             오글감성으로가보쟈🔥 3
55,자기랑 하등 상관없는 캐러밴 처단이란 대의를 위해 정보와 힘을 보태준 건 처음의 음흉한 목적이나 숨겨둔 딴 이유 때문이라 치자 근데 이젠 세트를 구하는 자기 행동에 명분을 구하듯 으스대는 중얼거림에서 이국신 너의 곧 시작될 사랑의 냄새가 지독하게 풍겨온다구❤️‍🔥🫠;;과몰입
56,헐 저는 내일 엄마랑👀🔥 우리 막ㅋㅋㅋㅋ 방탄투어 코스에서 서로 마주치는 것 아니냐몈ㅋㅋㅋㅋㅋ
57,57 😳 축하해주셔서 감사합니닷 🥹❤️‍🔥👍
58,44 화이띵🔥🔥🔥
59,우웅 당연하지 내애기😘😘😘❤️‍🔥❤️‍🔥❤️‍🔥
60,테드는 돈 되는 작품활동 들은 속물적으로 보일까봐 그런 쪽으로는 글을 보내지도 않았을거 같아 그래놓고 방송국 일쪽으로도 해보려는 실비아한테 그래봤자 방송국이지 하고 까내리고 진짜 속터지고 화남🔥
61,울 강아디 열공중🔥 16
62,🔥 맞팔  거진읍책  조건만남  곡성  ❤️‍
63,3 헿 고마웡❤️‍🔥❤️‍🔥❤️‍🔥
64,꼬들 214 46  🔥10  ⬜⬜⬜⬜🟨🟩 ⬜⬜⬜🟩⬜⬜ ⬜🟨🟩🟩🟨🟩 🟩🟩🟩🟩🟩🟩
65,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나한테도 다시 물어봄 루머에 불을 지펴보자고 🔥
66,❤️‍🔥❤️‍🔥사랑해요❤️‍🔥❤️‍🔥
67,1004 감쨔합니다❤️‍🔥❤️❤️❤️
68,민균시❤️‍🔥 민균아 잘자❤️‍🔥❤️‍🔥❤️‍🔥 3598
69,태영시‼️‼️‼️‼️🚨🚨🚨🚨🚨🚨📢📢🐱🐱🐱🐱🐱태영시‼️‼️천재고양이시🐱🐱🐱‼️‼️‼️‼️‼️📢📢📢📢📢📢📢🔊🔊🔊🔊🔊🔊태영시입니다‼️‼️‼️🔊🔊🔊🐱🐱🐱🐱🐱🔥🔥🔥🔥🔥🔥🔥태영시‼️‼️‼️춤짱고양이시‼️‼️‼️🔥🔥🔥🔥🔥🔥🔥🛎🛎🛎🛎🛎모두주목해주세요🚨🚨🚨🚨🚨 256
70,끼어어억 화랑찌 생일 축하해요 좋은 하루 보내기❤️‍🔥❤️‍🔥❤️‍🔥
71,125 앜ㅌㅌㅌㅋㅋㅋㅋㅋㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈ㅋ̄̈ 소방차까지   제가 불을 쩨곰 크게 지펴버렸꾼녀🔥❤️‍🔥
72,뉴진스표현이 정말 멋지다 새 걸그룹이 정말 대단하다 만사를 축하합니다 감사 합니다2 우리가 본 것은연습 영상 저는 정말원하는원하는🙏🏻🙏🏻🙏🏻  ❤️‍🔥❤️‍🔥2 010
73,꺅😍😍😍 썸님이 더 기엽어요 움념쫩❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
74,예쁜 세혀니는 세상사람들이 다 알아야해❤️‍🔥❤️‍🔥 2
75,같이 기원해줘서 고마오❤️‍🔥❤️‍🔥낼 잘 버텨본닷 하루만 버티면 금욜은 재택🤤
76,광자쌤 생일 추카드려요 행복하세여💘💌💝💖💗💓💞💕💟❣️❤️‍🔥❤️‍🔥❤️‍🔥
77,끄라아 감싸합니다 🥹🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻 입꼬리 완전 수직상승 🥹🥺 앞으로도 같이 열 드림 해요 🔥🔥❤️
78,헉세상에잠시만기다려주세용❤🔥🔥
79,샘 안녕하세요🙇🏻‍♀️ 맘눌 해주셔서 멘션 달았어요 친해집시당😉❤️‍🔥🫶🏻🫶🏻🫶🏻
80,비하인드 너무 좋아요🥹❤️‍🔥
81,중계에도 포함 안 시켜서 팬 직캠이 단데 씨큐👊🔥 8
82,2 데못죽 읽기 전에 외관으로는 문엋파였는데 읽어보니 왜 엋문이 쌉메이저인지 알 거 같아요😌❤️‍🔥
83,오마이갓뜨쒸발🔥 61
84,자기야 보고싶어 집 앞으로 잠깐만 나와줘 ❤️‍🔥
85,나는 그것을 절대적으로 좋아했다🔥💖💖 호석이랑 다들 완전 에픽이었어💖💖🔥💖 아드레날린이 높다💖🔥🔥 난 너무 행복해💖🔥🔥 다들 엄청나게 잘했어💖🔥🔥   247      호석 9
86,홍보영상 너무 잘 만드셨네 빨리 공연 시작되면 좋겠다   여름의 무더위를 잊게 해주는 적벽 🔥 600
87,🔥박살내자  화이팅❗️ㅣ2022       3   🥺🥺🥹
88,1000 2365 43 3939393939   꾸꾸님 응답감사해요 옛둥이 화이팅😘💜 애도리도 화이팅🔥
89,요한이는 언제나 예쁘구나 공주 생일 축하해❤🔥 8
90,52 안겻습니다 살짝 아주 많이 설렛어 난❤️❤️❤️🔥🔥🔥🔥
91,끼양❤️‍🔥
92,이제 다시 감으시면 돼요 매님 존꿈 꾸세요 ☺️👍🔥
93,귀여워❤️귀여워🧡귀여워💛귀여워💚귀여워💙귀여워💜귀여워🤍귀여워❤️‍🔥귀여워❣️귀여워💕귀여워💞귀여워💓귀여워💗귀여워💖귀여워💘귀여워💝
94,13434061379 감사해요🙆🏻‍♀️❤️‍🔥
95,24 하 우리 언냐 내가 좋아하는거 알지 앞으로 잘 주악해❤️‍🔥❤️‍🔥 디엠멘션 자주ㅜ할께 고마워🫢🫢🫢
96,‍🔥 팬티 솔로미팅 쉬멜만두 원주자연식 섹트  💕
97,한국 사랑하는데 네 네 알아요ㅋㅋㅋ 인도네시아도 빨리 와요 나 여기 기다리게💗🔥💗🔥
98,우리애기 슈스😎❤️‍🔥❤️‍🔥
99,우오오아아ㅏㅇ아ㅏ 나도 사랑해요❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥🏃‍♂️❤️‍🔥 42
100,‍🔥  광주조건  일탈    💘
101,666 헉그럼제가남캐짜올게요🔥 완전 중세보다 근세풍 어떠세용 빅토리아시대정도🤔
102,58002932 허억 진짜요 색 선택을 잘했군요 과거의 저를 칭찬해줘야겠어요 ❤️‍🔥❤️‍🔥
103,기다리던 문나이트 폰 케이스 드디어 왔다ㅜ 케이스 하나 샀는데 덤이 더 많아서 놀랬어요🥺  예쁜 굿즈 만들어주셔서 너무 감사합니다❤️‍🔥❤️‍🔥 4
104,3 기다릴게요❤️‍🔥
105,미치겠다 헐벗고 있는데 누가 이런 변태같은 각도로 아이구😩❤️‍🔥 7
106,부탁드립니다 형님🔥🔥
107,01 드라마 보는 중 🔥
108,아빠꺼 안전화이지만 너무 귀여워서 제가 쎄비지 했습니다 좀 크긴하지만 엄빠도 다 어울린다 했으니 좀 째며서 신여야겠어요;;😚❤️‍🔥❤️‍🔥
109,가자가자 🔥 🥔
110,꼬들 214 46 59 🔥26  🟨⬜⬜⬜⬜⬜ ⬜🟨🟩⬜🟨🟩 🟨🟩🟩⬜🟩🟩 🟩🟩🟩🟩🟩🟩
111,규호 울지마😇😇🔥
112,오후성🔥💙
113,닥스 전차스 원가 양도합니다  디엠 주세요 ❤️‍🔥 704
114,크 큠뽕 오져요❤️‍🔥
115,쫀아입니당 🤍🔥
116,저 둘다가요❤️‍🔥
117,헤이든 손 긴거 봐요 형아 허벅지 툭툭 만지는 손이🔥 697
