,tweet
0,쟤가 자꾸 유혹을😳😳
1,속편 나오는구나😳
2,꺄아앙 시험만 끝나바 주야보러 달려온다😳
3,어 트위터 뭐 업뎃햇어 원래 멘션창 안 보기도 하는데 멘션창에 진짜 너희밖에 안 보여  트윗 알티나 다른 사람 인용도 아예 안 보여 😳😳😳😳😳😳
4,😳😳 그렇게 훅 들어올 줄🤣🤣🤣
5,0126 으아아 누가 내 입좀 닫아줘여😳🤭
6,ㅏㅔ 😳😱
7,00 꺅 넘 귀여워요😳
8,티존 잘생긴 여성이 한쪽 입꼬리를 올리고 씩 웃으면서 말할 때 못 말린다는 표정을 지으면서 제 머리를 쓰다듬을 때 앞을 보고 나란히 걸어가다가 고개를 살짝 돌려서 쌍꺼풀이 야무지게 올라간 눈으로 저를 쳐다볼 때 저음으로 왜 나 안 쳐다봐라고 물을 때 등등입니다😌😳
9,이름도 어쩜 라임이 딱딱 맞냐구여 🥺✨ 너무너머 귀여워 손도 모으고 있어요 😳💕
10,저랑 행앗 할사람 없나요😳😳
11,0 헐 저두 그래요 연하한테 귀여움 받고 싶고 연상한테 의지 당하고 싶고😳
12,ㅋㅋㅋ  대결할까 누가 더 귀여울지🤣🤣 그치만 너야말로 충분히 귀여운걸 8월에는 더 멋지고 더 잘생기고 더 섹시한 널널😳 아니누구보다  나를 보면서 더 많이 웃는 너를 보고싶어💛💛💛💛💛🐱
13,헐헐😳💕
14,17 조쉬나와서 놀랬다가 맘 다잡고 풀었어요 아 힘들다😳 97
15,헐 손으로 잡았나요😳
16,처음에 투키즈룸 일주일에 한편씩 올라온다고 했을 때 언제 다보냐 8월 1일 언제 오나 했는데 벌써 28주가 지나고 투키즈룸이 끝났어😳😳 말도 안돼 내가 투키즈룸을 다 봤다니
17,왐마야 와이낫님😳😳 재밋게 봐주셔서 넘 다행이에요 저 낫님 그림들 진짜진짜 조아해요 앞으로 잘부탁드릴게요♡
18,윤하월 임소병한정  😍🥰😳💌💖😇🤗되는 여자라 웃김  다른사람을한테는걍 🤢🤬😡😠👿😈😤🙅‍♂️🤷‍♂️ 이거임
19,진심 정의맆만 두시간 해줘도 나는 15만원 내고 올 수 있다고요 ㅠㅠ 오늘은 등장할때 약간 슬퍼 보였는데 다들 키라 칭송하니까 웃어😳 그리고 그 눈 헤까닥 뒤집는거 너무 무서운데😱 너무 좋아 그리고 얘가 막 즐겨 그 순간을 이 고라이또라이야
20,진짜학교가면서 문방구 들러서초코스틱 하나 사구몰래 학교서 마시구근데 세모금 마시면 그 쵸꼬맛 다 사라지구나는 절망하구근데 두개 찐 으른이드아😳✨
21,10 헐😳😳 보내드리면 되나요
22,바뀌었는데 불편하진 않으셨을까 걱정도 돼요ㅋㅋㅋ 사실 저는 미성년자와 성인 연애하는 거 반대하는 입장이라서 쓰면서 이게 윤리적인 게 맞나 생각도 많이 들었었네요😳 챵균이랑 채실장이 이별한 뒤의 시간을 너무 휙휙 지나가게 한 게 조금 아쉬웠지만 그렇지 않으면 질질 끌 것 같았어요😓
23,헐 그으 트친된지 별로 안됐지만 받으실까요😳
24,0126 아 진짜 있었군요😳😳 제 뇌가 나빴네요😓
25,헉 그런가요 감사합미다😳🙏💞
26,1103 증말 재밌어요 😴💖 특히 이번 극장판은 제가 주아하는 캐릭터가 잔뜩 나와서 보는 내내 입 틀어막구 봣달까요 😳🫶🏻
27,0 꺅‼️‼️‼️ 감사한것이와요😳😳😳💕💕💕💕💕💕
28,25 반할거 같아😳💖💖
29,33 너무 예쁘게 잘했다😳 하루 솜씨도 장난아냐👍 0
30,1 2 저 ㅁㅋ봤는데 가격차이 무슨일이죠😳
31,0 이미 다 하는중😳❤️ 여왕님❤️‍🔥
32,모두들 쫀아 일요일이 찾아왔어😳😳 나는 오늘 놀러가려구 부산으로가는 기차 10시 50분꺼 끊어놨찌 너희들도 즐거운일요일 보내길바래
33,해찬아 사랑해 🥺🤍😳
34,여정이 웨이크원이 첫회사래 편식하는거 없고 본인은 덮은머리가 더 좋댕 😳😳
35,333000 꺄아아아아앟 아근데진짜너뮤기대하시면안뎁니다😳😳😳😳 다비슷비슷하게생겨싸요ㅠㅜㅜㅜ
36,3450 이미 완전 아름다우신데 거기다가 운동까지 😳
37,앗 작가님  😳😳😳😳😳😳😳 감사합니다 ❤🧡💛💚💙💜💖
38,여러분 이거 진짜예요😳😳😳😳 1259
39,입꾹꾹이 넘 귀여움 😳 배현준  2
40,0728 붘흐😊😳
41,290 아 😳😳😳
42,진심 사진 알차게 모아놓으셨다😳 블랙스완 그리고 화이트스완우열을 가릴 수 없는 절대적 아름다움과 강렬함이다
43,에스쿱스 새로운 그림 연습😳 621
44,이게이장면이였어😳😳😳 인워인가 인가😆😆         7
45,엄마야😳 귀요미둘이ㅜㅜㅜ 3
46,꺅 감사해요 😳😳😳
47,마깡님과의 연교로 받은 오키야 🥹🥳😳🤤🫣🤭 2
48,어떤 아이인진 모르겠지만 홀로그램 어떠세요😳
49,전님이500따리일때도밧는데😳😳😳
50,어디😳 9
51,아이고 숭해라😳
52,츠보미언냐😳 74
53,제 이상형은요리 잘하고 애정 넘치고 밤 일 잘하시는 분😳
54,오늘 하늘이 예뻐서 더 런쥔이 생각이 많이낫다😳
55,너무 좋아요 진짜 저랑 마도 촬도 같이 가주세요👊👊👊👊👊👊👊👊 사금 뽑뽀도 했어요😳😳💖💖 7
56,너무 귀엽고 어리광쟁이일 줄 알았는데 방금 푸신 썰 보고 전혀 아니었짆아 하는 중이에요 😳
57,내가 부끄러움이 많이서 그래😳
58,우어그렇군용 감사합니다😳 마스터가 되기위해 열심히 연습해보겠습니다😋🔥
59,1128 두근두근두근 멈춰있던 심장이 뛰기시작했다😳☺️
60,8847 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋㅋㅋㅋㅋㅋ내가 만약 결혼할거라하면😳
61,059 전 2성만 나오다 이번에 처음으로 5성이😳
62,남여주 제정신 아닌 드라마 좋아하는데 빅마우스 딱 그 느낌이네😳
63,😳😳와웅 ㅎㅎ 올해도 이제 하번기인데 우리드 빨리 오면 좋겠어요
64,떡볶이와 아이스크림 😳
65,12 와쌤😙  짤이랑 쌤 글이랑 어쩜이렇게😳😳😳😳👍🏻
66,너무너무 귀엽고 진짜 잘 그리셨다😳 528
67,0 슈깅 두요 그리고 제가 슈깅 조아해요❤️😳
68,심지어 챙겨간 생수통이 빈통 같은데요😳 다 먹은거 소듕히 가져간거야 가방은 두고 1
69,0115 으앙 그죠ㅠㅠ 기현이 당장 우리한테 볼링 가르쳐주러 달려와라😳
70,루즈 먼가 조아 먼가 조아 맘에들고잇어😳😳
71,헉 인형옷도 제시 받는군요😳저도 거기 검색해봐야겠어요😍감사합니다😚쪼오오옥
72,13  아 2주나요 😳 아이쿠야 진짜 조심해야겠네요 감사해용 💜
73,비밀과거짓에서 랴이툐랑 옐 합체할 때 륰흐 가지고 놀던 사과 무대 옆밖으로 던지는거 오늘 처음봣ㄸㅏ😳💦
74,안고독한 유수방이라는것이 새로 생겻다고 세상에 😳
75,0604 마자요 어떠케 그런습관을😳
76,약간 이거예요 1권 그냥 그냥 인체의  신비  2권 조은 이야기엿어😳 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
77,2 뀨😳🫢🥰 편하게 대해주십셔 ㅋㅋㅋ
78,125 레이나 오레이요💖 이벤트 감사해요🥺 저도 이벤트 포기😳
79,1 😳😳 ㅜㅜ 근신하러
80,연준이 진짜 너모 잘해😳😳😳 585
81,02160 인사를 드리고 싶었는데 마지막분이 누구셨는지 열심히 뇌를 더듬어 보았으나 기억이 명확칠 않네요ㅠㅠㅠㅠ 다음에도 기회가 있으면 꼬옥 인사 나눠요😳💕
82,005100 헉😳💜 최고라니🤭 렌여울 은 우부야시키 선정 최고의👀💜
83,앗 저도 알려드리고 싶은데 😳 사진만 저장해놓고 출처를 잃어버려서 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 혹시라도 나중에 찾게되면 알려드릴게요 🥺
84,200알티 뭐야 진짜 유명인이 되어버렸어😳 나만의 작은 트친 마레상은 이제 없다고 이젠 만인의 존잘님 마레 3
85,검은머리가 어색해 오늘 술 한잔 하실분😳  시디  여장 쉬멜 러버 훈남 근육 풀업 맘눌뎀 시디술집 시디바 9785
86,ㅤㅤ    😳 4    ㅤㅤ
87,960118 더요더요😳
88,와 오늘 7월  마지막 날이네 콘설 2주도 안남았어 😳😳😳  나 준비 잘하고 있는거지 준호야 뭐 준비해야 되는지 얘기좀 해줄래
89,트친소 그림러트친소 그림 독학합니다 같이 그림그리실 분😳😳 22
90,허겅 정말요ㅜㅜㅜ청순함이라니 헤헤☺감사합니다😳😳
91,0213  네  도대체 어떻게 해야 글케 잃어버리나요 😳😳😳
92,갑자기 또 부끄러워 ⏮😆😀😳⏭ 46
93,헐 저도 이 일러 제일 좋아해요😳 92
94,앙큼해😳❤ 9
95,김낙원😳😳
96,1031 부부부끄럽습니닷감사하무다😳
97,더위 조심하시구 잘 다녀오셔용 ➰😳🤩
98,444 안녕하세요😁 팔로우해주셔셔 감사합니다☺️ 앞으로 잘부탁드립니다😳😳😳
99,아니이이이이이이이 😳    😳😭
100,짱 조아😳
101,0 케ㅔ 그런가요 많이 안 넣었다고 생각했는데 😳💗
102,십오야 아직도 안나왓아😳
103,ㅁ머뭐에요 이 훅들어오는 플러팅은😳
104,행복해요😳🖤🖤 7366
105,77ㅑ 다음에 저랑 꼬옥 유타리카 해주시면 됩니다😳💍 헉 진짜여 주술회전 다른 캐릭터들도 꼬옥 한 번 해볼게요💕
