,tweet
0,4500원 이상의 가치😆
1,이거 봐요 왜인지는 모르겠지만 둘이 닮은 것 같아 😆😆 756
2,12 헉 진짜 찐 ㅠㅠㅠㅠ 더 가고 싶어졌어어😆
3,아아닠ㅋㅋㅋㅋ 가사갘ㅋㅋㅋㅋ 귀여워라 😆
4,신나써 ✌🏻😆✌🏻 2
5,18 오 그렇군요 😳 다음에 먹을게요 감사합니다 😆
6,좋은 꿈 꾸세요😆✨️
7,머리색 하며 별 자수들까지 너무 겨울밤 그 자체인 것 같아요😂💕 말랑함을 조금 더 즐겨볼까 하다 결국 요 아이도 뼈를 심어주고 말았답니다 😆 복슬복슬 너무 귀여워용
8,이 아이도 너무 귀엽고 예뻐요😆🎀💖 포켓몬인가융💛🔥
9,9 학 ㅋㅋㅋㅋㅋㅋ 버텨주세요😆😆
10,원주시립중앙도서관 하반기 독서동아리 워크숍 개최📚 독서 모임에 관심이 있고📗📘 독서를 사랑하는 시민이라면 누구든지 참여할 수 있어요😆  자세한 사항은 포스터와 원주시 공식 블로그에서 확인해 주세요🔍 50
11,오랜만에 맞춘 거시다 😆😆   412 66  ⬛⬛⬛⬛🟨 ⬛⬛🟨⬛⬛ 🟨⬛⬛⬛⬛ 🟨⬛⬛🟨⬛ 🟩⬛⬛⬛⬛ 🟩🟩🟩🟩🟩
12,😆😆 눈사람님도 이제 팡마를  😁
13,갹 4단바인더 나왔네 종류별로 다사야지😆😆
14,0909 지하철로 33분 후욱후욱 멀진 않네요 😆
15,강사님이 에너지가 너무 좋은게 내가 운동 하다가 힘들어서 흐어어어 하면 엄청 즐겁다는 듯이 😆 이표정으로 그거야 함ㅋㅋㅋㅋ
16,88 엇 안녕하세요😆
17,미묘하게 다른 두 유령   꼬질꼬질한 유령은 사실 유령 모양 솜인형이에요  그래서 꼬질꼬질 야광도 아니랍니다😆 하지만 꼬질이는 귀엽고 스스로 진짜 유령이라고 생각하니까 우리 모두 쉿🤫 154 691
18,나도 떡뽀끼 먹었지렁😆
19,26700272 헉 그렇군요 알려주셔서 감사합니다😆
20,040611 앗쏴 😆😆 혹시 몇시에 역에서 만날까요
21,0616 아잇ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 짤 주워가요😆😆😆
22,230 에헤헤 그치😍❤️ 대리만족도 되고 나도 올리면서 넘 즐거워 맛도 맛있고😆💚 담에 용인 올 수 있으면 말해잇 나랑 같이 먹어보자😆💚💜💗❤️
23,오예 너무 좋아요😆😆
24,89 재유니 목소리 들렸어요 😆 ㅋㅋ 재유니 사진들 브이로그들 기다린다 💕 ㅎㅎㅎ
25,맞친이 아니셔도 괜찮습니다이참에 친해져보아요😆👍 알티 감사합니다💓
26,・・・ 깜짝 손님 등장 오리 아니 정호쌤😆        😀   최예나 예나   스마트폰
27,차이님두요 무즈대명절 최고로 즐겁고 행복하게 보내세용 해피승연데이입니다😆😆🧡💙 0
28,808 앜ㅋㅋㅋ오시면 연락주세용😆
29,해변을 컨셉으로 한 인테리어의 카페이고 대형 스크린에서 계속 바다 영상이 나온다 그이고 고래커피도 있어😆 021
30,광공님 실물영접 하네요😆😆😆😆😆👍🏻👍🏻👍🏻👍🏻
31,016 😆 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 좋소좋소 달려달려 이따봐🤛🤛😎
32,꺄아아아 저 기다리고 있으께요 😆😆
33,꺄아아😆😆😆
34,신상을 아는 대우니 ㅎㅎ  낼 모래밭 런웨이 좀 밟아줘야겠어요😆🥰
35,901 7  앗 그래도 달걀 아저씨는😆
36,ㅎㅎ 그때볼수있음 좋게써요😆😆
37,많이 소통하면서 지내여 잘 부탁드릴게여 🤗😄😁😆
38,이제 라다님 글 인용을 다시 할 수 있다니 너무 좋아요 인용 기능 마구 사용해서 앓겠습니다 라다님😆💕💕
39,감사해요 다음에 월급 받으면 칵테일로 파티를 열어야겠는걸요 😆😆😆
40,편하신대로 불러주세요ㅎㅎ 원래 닉네임은 땅콩인데 그것두 애칭같고 좋네요😆❤️❤️ 지카님이라고 부르면 될까요
41,쫀아에요 달희님😆😆
42,9 4366552 9 딱딱하니ㅋㅋㅋ 그래도 까오가 선전하는 거니깐맛있었죠😆
43,레쭈고😆😆😆😆😆 5
