,tweet
0,반박자 느린 춤 너무 귀엽다고😭 8
1,이거깨닫는게늦어서 오줌이 굳엇는데 씹아어쪄죠이거 여기만 샴푸해줄숭도없고 수요일에 소독함하러가는데 그때 말해보까요 😭
2,모르겠어요 자세가 진짜숭했어요😭
3,330  이번에 젤로 고생한 사람 덕분에 편하고 즐거웠어요 난 이제 병원 투어 😭😭
4,남의 연애😭
5,모든 날 모든 순간 함께하자😭  우진영  모든날모든순간 63
6,99 ㅋㅋㅋㅋㅋㅋ ㅋㅋㅋ ㅠㅠㅋ ㅋㅋㅋ큐ㅠㅠ 아 5일 네고 안되나여  너무 멀어짜나  ◞‸◟ 😢😭😢😭
7,10001 자취방도 따로 있을 거구 럭키 집에서 좀 자유롭게 큰 것도 사실은 방임의 일종이라고 알아들었는데 맞나요 아‼️ 마저‼️ 울애 자기 형이 이타케로 넘어갓잔아요‼️배신감 들엇을까요
8,같은시간에 출발했는데 도착해야할 시간이 지났지만 아직도 한시간 남았다😭
9,아 짱귀여울거같아요😭👍 거기다 모자누르면 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ삑뽁삑 하면서ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 연주가능한 화음 나오는 모자였으면 좋겟음다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,전영상을못찍어서 아쉽드라구요😭영상을 찍었어야했는대 ㅠ
11,3 이 부분이 너무 귀여웠어요 윤시은이가 이렇게 했을 때 소름이 돋았다 😭💖 5
12,1 🫠🫠🫠😭😭😭😭 일찍 화내고 시작한게 더 좋은 거겟지 하하ㅏ핳하하하ㅏ  벌써 졸려죽겟디만 오늘 유미도 화이팅🔥
13,지민아 답장해줘 🥺🥺🥺🥺🙏🏻🥹🥹😭😭😭😭😭
14,581399 어떡해 너무 예뻐요 구구님 😭😭❤️❤️ 맨날 그렇게 웃어 얘들아  ㅜㅜㅜㅜ
15,소원님 솸모닝이에용 흑흑 꿈에서도 인서타 확인했어요😭 현실은 아니었지만 극뽁하겠습니당😉
16,1215 전 퇴근길이요😭 럭키님 홧팅 9
17,월요일 아침을 기운차게 만들어주신 우리 곱 센세의 갓중독 기립박수 기립박수 최고에요 7월 마지막 주 완전 행복한 한 주로 끝내고 8월을 기쁜 맘으로 맞이 할 수 있을거 같 6
18,83351 나둥😭😭😭
19,91 현실 부정중😭
20,에어컨 찬바람과 그 공기가 좋지 않아서ㅠㅠ 주변에 보니까 고생하더라고요😭😭
21,최고 진짜😭😭🤍🤍 54
22,ㅠㅠㅠㅠㅠ티아코님 귀여워요 8ㅅ8 하지만 월요일은 시러요 😭😭 ㅋㅋㅋㅋㅋ
23,252 겡님한테 벽이 느껴져요 완 벽 🥲❤️❤️ 겡님 밋치 귀엽고 섹시하고 아주그냥 혼자 다해 😭😭💕💕 눈이 번쩍 떠졌자나오 😭😭❤️❤️❤️
24,쌤 잊모닝 🐧예대터진글 며칠못본듯해요😭
25,😭😭😭 흑흑 사랑니 싫으다 그래도 잘 받고 오세요💪
26,언니 월요팅 언니는 수요일에 가는구나😭 나는 낼인데 하루차이 아쉽다😭
27,😭😭😭😭😭😭 쥭겠네욧
28,화장 안해도 귀엽고 얼굴 부어도 귀여워😭
29,경찰학교 편이랑 지금이랑 제일 바뀐건 역시 히로미츠 같은😭
30,02 네 🤫  근데 진짜 심하지 않아요 서류 😭
31,ㅠㅠ맞아요 다정하고 꿀뚝뚝이야😭
32,4366552 맨날 해맑은 얼굴로 반박자 느리게 추면서 업투유는 칼박자로 추는 것도요😭 ㅋㅋ
33,탈앙이요 안되겠다 제가 다시 영입해드릴게요😭 같이 앙스타해요  아니 그것보다 서코에서 선생님 못 뵌게 진짜 인생 최고 한이예요
34,ㅋㅋ그래도 다행이예요 출근빼고는 쫀아침이네요😭
35,97469514 😭 밤샘 하셨군요 ㅜㅜ 근데 밍쫑이 먼저심장이 계속 떨려요
36,0525 월요일 화이팅입니다😭 6
37,마자마자 화창한 하루야 언니 생일이라 벌써부터 너무 행복한 하루야💕💕 빨리 다음주 되어서 언니 보고싶다😭❣️
38,아침부터 설레게 왜이래😭 고맙다구💚 볼게😆 꼭 볼게😊 백번볼게😍 消し好き 福田悠 9
39,아포가 말을 하면서 마일이 손을 절대 놓지 않는 것을 보고 아침부터 오열 중찐사랑 너무 소중해 💚🤟😭 93
40,이제 넼도끝나고 슬프다고 흐엉엉엉😭😭😭😭😭 후1야보고십드아아아악
41,월요일 아침 눈떠서 본게 티저라니😭😭
42,쌤 잊모닝💛 이제 얼마 안남았다는 8월되면 지금보다 더 설레일거 같아요😭😭 후우 월요팅 하시고 잊데이 보내세요🥰
43,야 😭
44,출국하나봐요 😭😭😭               32614
45,정구기 가족이랑 여행갔나봐 부럽 ㅠㅠ 왜 그림자도 잘생기고 난리냐 신발 ㅠㅠ 😭 0
46,더더 주세요😭😭💦❤️‍🔥❤️‍🔥
47,😭 방탄소년단 정국  정국 방탄소년단정국  741
48,앙콘 왜 안해줘  😭😭  1
49,난 몰라😭😭😭😭😭😭😭 2
50,저 계폭합니다 존재의 의미가 없어짐😭 311
51,8 머싣다😭😭
52,고죠쌤 왈요일 무라사키해줘😭😭😭😭😭😭
53,완전 사랑이죠😭
54,22 월요일부터 녹초네 😭😭
55,220724  마지막 😭❣️    하늘 ハヌル  세러데이 セロデイ 0
56,드디어 오늘 방학식🤬🤬👊👊🤬👍👍👌😭
57,나 오늘 5시 퇴근😭😭😭 아 존나 행복해
58,으앙요일😇🔫 출근한다고 여기저기서 솸프들의 우는 소리가 들리지만 알쥬 우리는 대견하고 기특해😭♥️♥️ 서함이가 왜 솸프들 귀여워하는지 알겠뜸 ㅋㅋㅋㅋㅋ 다들 왤케 귀여워 지짜🥹 노비 솸프들 577
59,후싯타멍 귀여워ㅠㅠㅠ  멍멍이 손으로 고기 자르고 쌈싸는 거😭😭 ㅇ ㅏㅏㅏㅏㅏㅏㅏㅏㅏ
60,낼이다 킹누 당락발표😭
61,루스터가 씩 웃고 고개 끄덕이는 게 보고 싶다 행맨루스터 행쇼해 오래오래 😭
62,55 이미 완전 따뚯한뒈요😳😳😳 땀이 땀이 땀이  😭😭😭   거 오디에요 시원한데가
63,카푸님 영상 너무 멋져요 카푸님의 영상을 너무 사랑해요😭😭😭늘 뒤에서 훔쳐보다 조심스럽게 멘션 슉 넣어봅니다❤️❤️❤️❤️❤️
64,가사가그냥 프룩이 마음 그대로네😭 노래 넘 좋다❣️      06
65,0000 다시 돌아갈뤠에에에에😭
66,오늘부터 사무실 출근이라 훌쩍  콩먼지 보면서 힘을 내볼게 😭 디데이 배경 바꿨답 2
67,나만 생카 못가😭😭😭
68,귀여워😭🧡
69,076 10이요😭
70,침대가 필요한 시간😭 473
71,흐아앙 흐아아아아아아아아아아아아아아앙 귀여워😭
72,솸모닝 월요일 출근😭😭 뭔가 어제 일찍 자서 다행인거같다 230
73,왜 우러 우래기 😭😭
74,7 네선생늼워룔아침부터 이 무슨 청천벽력같은 소식입니꽈월밤의왕자 정재한 못놔줘😭😭😭 2
75,네 ㅎㅎ 외상은없는데 좀 쎄게 박혀서 그런지 아프긴하네요😭
76,4 구니가요주디 열심히 찾았는데 안보여서😭😭😭 담에 꼭 다시 뵈어요🥺
77,흑 ㅠㅠ 오늘하필 혐생 😭😭😭 저녁 븨앱시간 맞춰야하는데
78,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ소중한 플레이리스트 공유파루루 노래도 그렇고 겹치는 거 넘 신기해요🤍😭
79,통곡의벽 루스매브 😭😭😭😭😭  귀엽게 봐주셔서 감사해요
