,tweet
0,너무 너무 축하해 🎉 💗  우리도 행복해 🥰🥰🥰🥰
1,에이티즈 뮤뱅 1위 축하해 🎉❤️‍🔥
2,0708 이도황자탄신일을축하하오 오늘만은이도황제 개새끼도남의구역에선생일을지켜 이도전하의생일이우리한테온거야 그냥같이축하하자는것뿐이야 이도 전하 생신 축하드립니다 😘♥🎁🎉💐 63
3,백현이 꼭 볼 수 있는 것은 아니지만 내가 최근에 열심히 자신을 진급시켰다고 말해다들 힘내세요🥺🐶🎉🎉
4,임영웅  사랑은늘도망가 영상4개 6400만뷰 축하드려요 🎉 🎉 🎉  임영웅  임영웅정규앨범 임영웅음원강자 임영웅팬덤 임영웅발라드 출처물고기뮤직모스트콘텐츠 편집후리지아 9
5,👠🐓🎉🔕 리트윗 하면 희귀영상보내들게용   일탈섹트야동맘눌뎀맘눌피섹스야동서울부산인천대전교복목소리보지  84229
6,감사함돠 💜💜💜🎉🎉🎉
7,헉 너무너무 늦어버렸지만 생일 너무너무 축하드려요 🥳🎉
8,0805 서도빈 해삐버스데이🎂🎉 선물은 바로 나얌
9,🎉시프트 생일 축하 이벤트🎉  오늘 8월 6일은  의 생일입니다 시프트의 생일을 축하하기 위해서 오늘 하루 동안 시프트의24번째생일축하해 태그와 함께 생일 축하 메시지를 보내주시면 한 분을 추첨해 🎁한별이 엽서 세트🎁를 보내드립니다 다들 많은 참여 부탁드려요 6
10,0616 마히님  2000팔로워 축하드려요🎉🎉🎉 츨근해서  둘러보다 소심하게  참여 하고 갑니다
11,2505 츄카한데이 아줌마 잉🎉🎊
12,임영웅 사랑해진짜  700만뷰 돌파 🎉  감성장인의 명품보이스   임영웅   임영웅사랑해진짜 임영웅넘사벽아티스트 임영웅브평 출처 갤러리 편집가인;눈누난나 58
13,생일을 축하드려요 즐겁게 보내세요 🥰🥰🥰🎁🎂🎈🎉🎈🎊🍾
14,오늘 생일이신 노아님 트친소소소 😘😘😘🎉🎉🎊🎉🎊🎉🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊 생일 넘넘 축하드려요❣️❣️❣️❣️❣️❣️
15,임영웅 덴티스 2022 지면촬영메이킹필름 100만뷰 축하합니다 🎉   임영웅  임영웅정규앨범 임영웅음원강자 임영웅팬덤 임영웅유튜브 임영웅덴티스광고모델  출처덴티스편집쩡이 66
16,1223 헐 생일축하해🥳🎉
17,세상에 생일 축하드려요🎉🎉🎉
18,와악 추카드려요😭😭😭😭🎉🎉🎉 🥺💪💪💪💪💪💪💪 새 직장에서는 부디 워라밸챙기실수잇길😭 아픈데 고생 많으셧어요
19,2022년 8월 5일🎉 엘리시스 생일 축하해🥰   🎂 16
20,994 헐 생일 축하혀🎉🎉 맛난거 많이 먹고 행복한 날이 되길 바라😊💕💖
