,tweet
0,1 축하해🥳💛💛💛
1,헉 디핑님 오늘 생일이셨군요🥺 생일 축하드려요🥳🎉🎉 즐거운 생일 보내시길 바랄게요❤️
2,생일축하해요오🥳 맛난거 먹고 즐거운 하루 보내❤️ 5
3,저두 별님과 쭉 연 이어갈 수 있어 너무 좋아요🥳❤️
4,진급축하합니다🥳🎉🎉🎉 앞으로도 몸조심하고 힘내💜🥰
5,그럼요 그럼요 생일은 주간이죠 오늘은 내가 주인공 오예 🥳😆 콜라님 축하해주셔서 감사해요💕💕💕
6,17 늦었지만 생일축하합니다🎁🎁🎁🎊🎊🎊🎂🎂🎉🎉🎉🎈🥳🥳🥳💕💕❤️
7,하늘구름님 생신 축하드려요 🥳🥳
8,800팔 축하해🥳🥳🎉🎉🎉
9,동혀니 격리해제다 🥳🥳🥳🥳🥳🥳🎉🎉🎉🎉👏👏👏👏👏 맛있는거 먹자아아 💗💗💗
10,하루 늦었지만 생일 축하합니다🥳🥳
11,1년 동안 고소고발 ; 역병과 싸우며 쓴 괴작 페일 블루 아이즈 가 8월 5일 금요일 시리즈에 런칭됩니다🥳  남주의 모든 걸 말해주는 아름다운 표지는 리마님💕이 그려주셨습니다  아주 맛있던가 아예 못먹던가 둘 중 하나일 거예요 진짜루🥹👉👈
12,왁 메이님 생일 축하드려요❣️🥳🎉 은우가 추천해준 생일음식이라니 무조건 다 드셔야만 오늘은 세상에서 제일 행복하시길🙏🥰 592
13,0802 생일축하해🥳🎉🎊 맛있는거 마니마니 머거🎂😘
14,사실 생일입니다 자축해보겠습니다🥳🥳🥳 18
15,033 헉 언니 생일 짱짱 축하해 꼭 레전 무대 보고 맛난거 많이 먹고 행복한 하루 보내세용🥳🥳
16,600팔 축하드려요 🥳🥳
17,축하해요🥳
18,생일 축하드려요🥳🥳 좋은 사람들과 기억에 남는 하루 보내세요💙🤍
19,생축 언니ㅣㅣㅣㅣ 💓🥳🎉
20,저에게는 콩닥콩닥 두근거리는 좋은 글들을 읽는 기회였어요 💜 1년 너무너무 축하드려요 넌나님🎉🥳
21,민범이 생일 우주에서 가장 축하해🥳 428
22,📢   더쇼 초이스 생방송 투표 안내 ⠀ 에이티즈가 더쇼 초이스 후보에 올랐습니다🥳 스타플래닛 앱 내 더쇼 투표창에서 1인당 5표까지 실시간 투표가 가능합니다‼  에이티니 여러분의 많은 투표 부탁드려요🔥 ⠀    에이티즈 5
23,🥳🎂       ✨                😆💚 항상 응원할게요 우리 애기들  24 044
24,0  오히려 시기가 딱 적절했습니다 하계정 드려라 ㅋㅋ 할 때의 쾌감 아직도 잊지 못합니다 오너님도 즐거우셨다니 매우매우매우 영광 만족합니다 🥳🥳🥳🥳
25,9 생일축하드려용🥳
26,4겨론설 때처럼 축복받을듯여🥳🎉
27,마켓컬리 추천인 아이디 입력하고 5천원 적립금 받으실 분 쓰세요 🥳  👉   0584  👈  친구코드 할인쿠폰 할인코드 할인쿠폰 추천
28,5813 우와  코이님 생일축하드려요용🥳🥳🥳
29,잍님 생일 축하드려요 🍉🥳❤️‍🔥 탐라에 가득한 축하와 사랑 모두 배로 느끼시면서 행복한 생일 보내세요 매년 느끼지만 정말 운명ㅋㅋ입니다ㅋㅋㅋ 콤보로 덩달아 함께 같이 더불어 더 더 좋은 날 되셨음 해요 🌙
30,조아요🥳🤸‍♀️🤸‍♀️
31,우리 헬씨 어도러블 벌떼뽀이 마크야 생일 너무너무 축하해💚🥳🎂🎉🍉🎉🎂🥳💚  마크를축하하는맠프를응원하는마크의24 영원한차일드우리마크생일축하해  24
32,08 생일 축하합니다생일축합니다🥳🥳
33,생일 축하드려요 행복한 하루 보내세요🥳🥳
34,와아🥳
35,헉 초아님생일 축하드려요 나중에 푹 주무시고 일어나서 개운하게 남은 하루 즐겁게 잘 보내고 오시길 바랄게요🥳🎂🎉🎉
36,14 ㅎㄱㅎㄱㅎㄱㄹㄱㅎㄱ대박대박 축하축하 축하합니다 짱 대박 우와악 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅇㅁㅇ풍악을 울려라으으으🥹🥹🥹🥹🥳🥳🥳🥳🥳🥳🥳🥳🥳🥳
37,1 엄훠 감사합니다 ㅠㅠㅠ 사실 갑자기 축하드린다 해서 저 뭐 당첨된줄  알고 설레발쳤지머에요🥳
38,헐 언니 생일 짱 축하해🥳🥳 맛있는 거 많이 먹고 가족 친구들이랑 즐거운 하루 보내길 바라🎂🎉💖
39,🍉2월8일🥳 60
40,📢;탐색전; 피너툰 북큐브 론칭 안내  ;탐색전;이 피너툰 북큐브에서도 서비스 됩니다🥳  ;탐색전;은 매달 2 12 22일에 연재됩니다  피너툰 4 북큐브 61 6571
41,중요한 일정을 마무리 했습니다🥲🥳💜  그래서 아마 목요일에 아윌비백입니다🤗
42,220801 나나콘   소원성취 축하합니다🥳👏🎉 5 57
43,헐 생일 축하드려요 맛난거많이드시고 행복한 하루보내시길 바랍니다🎉🎉🥳🥳💖 30
44,꺆 넘모 축하드려요 평생 토핏 약속해요🎉🥳🎉🥳😍 86
45,헐 미리 축하드려요🥳💝
46,0 꺅 지지님👀♥️ 잘 지내셨나요  영원 소장본은 말씀처럼 디자인에 신경 많이 썼답니다 ㅎㅎ 내지도 어마무시하고요🥳 내용도 알차게 담아보았으니 재밌게 읽어주심 더 바랄게 없을 듯하여요
47,2 메모랴 언니 생일 추카포카🥳💚
48,생축 생축 이 마그으으으으으 🥳🍉
49,축하드려요오😚🥳
50,333  3  93   트루쓰 잘자🫶🫶 다음에 또 파티해🥳
51,헙 생일 축하드려용ᐟ 오늘 꼭 행복한 하루 보내세용🥳💖
52,92 큐티빠티뽀띠 귀염뽀짝 금손여성 뇨뇽깅의 탄신일 축하를 참을 수가 없네🤤 사랑하는 뇨뇽깅 생일 축하합니다🎂🎉🎉🎉 그 누구보다 즐겁고 행복하고 신나는 생일을 보내길🥳🥳🥳
53,00 축하드려요🥳🥳🥳
