,tweet
0,12 아아아기공쥬요🤦‍♂️🤦‍♂️💖 하아 ㅠㅠ 저도 보고싶어요💖💖 지금 당장 달려나갈 기세네요💦💦
1,0504 할인이 없다니🤦‍♀️ 취소 후 다시 재관할로 예매하시져 재관할 도와드릴게여
2,🤦‍♂️ 지송
3,존잘왜케많아 🤦‍♀️
4,어미에 콘 붙이는 거 너무 귀여워🤦‍♂️ 우리 애기 여우벌써 제작발표회가 다음주 일요일이라  너무 기대됩니다 🦊❤️🦊❤️🦊❤️ 921
5,후 왜 내가 떨고있지 🤦‍♀️😂 😭
6,05 🤦🤦🤦 사랑둥이 😘
7,헉 간지럽다가 목 아프고 눈까지 부었으면 점점 심해지는거같은데요ㅠㅜ 잔기침은 안나세요 컨디션 나쁘면 시간갈수록 점점 더 심해져서 기도까지 부을까봐 걱정되는데 약이 없어서 어떡해요 🤦‍♀️🤦‍♀️🤦‍♀️
8,💋‍ 연유치즈옥수수전 루다는비서 악어책방  🤦
9,🤦‍♀️ 오타쿠 파티 즐겼으니 자야지오케이
10,어터슨한테 아무것도 묻지마하고 그 얼굴 근육이 막 일그러지다가 왼쪽볼 혀로 밀어서 볼록하게 해가지고 그 공포영화에서 피부에 거품이는것처럼 볼록볼록하는  하 설명이 안되네 암튼 씨지로 하는 그걸 직접해낸다니깐 지금 번뜩 생각나서 기막혀하고있음🤦‍♀️
11,04 흐어어 저희 나중에 오프 해서 만나면 뭔지 아시죠 예 🤦🤦🤦🤦🤦
12,일주일에 직관을 4번 갔더니 목이 나감🤦‍♀️
13,0330 요염하게 꼬리 살랑거릴거 생각하면 아주🤦‍♀️
14,레스토랑에서 둘이 한판 붙는 씬 찍을 때 왜 본체들이 쉬는시간 밥먹을때도 데면데면하게 있었다는지 알 것 같아요 이정도로 못 숨길 것 같으면 그렇게 연기가 아닌 부분에서 떨어져있었어야 쥬쥰감정 이어나갈 수 있었을테니까🤦‍♀️🤦‍♀️🤦‍♀️ 하진짜 지독하네요
