,tweet
0,931028 댜기야 나 폭행범돼써🤷‍♀️
1,👨‍🔬치료가 필요한 중중 등신대증후군입니다 🤷‍♀️흥 웃기는 소리이 사진은 등신대 될까
2,학부모들은 사교육비가 줄어서 부담이 덜 될 거 같다 미취학아동도 사교육비가 많이 든다 어쩌구 하든데 그냥 사교육을 존나게 시키는 게 문제 아닐까🤷‍♂️ 686
3,😟 도넛맛집 송정집 행궁동맛집추천  🤷
4,🙊🤷‍♂️ 만진당은 음주운전 정도 해줘야 당대표하는구나 얘네 교육부장관때 지랄하던건 뭐야 내로남불 쩐다쩔어 38
5,추천 알고리즘이란 게 있긴 한 건지 의문입니다 🤷‍♂️
6,🚋 해시태그이벤트 혼자여행사관학교 살균소독  🤷
7,이제 그만 자러가보겠슴메  스스 진짜 불태웠다무슨 공구인줄 할 말 냥많은 사람들의 모임🤷‍♀️
8,1 내말이요 인☆더위를 먹었나🤷‍♀️
9,🤷‍ 탈모 피글글리터 임신정보  😱
10,🤷🤷🤷 담배댈구 서산ㅈㅗ건만남 생활한복장신구 에스쿱스 대게오마카세 이자람 토이페이퍼 카페아마라노 네이버포스트 🤷🤷🤷
11,⛽ 와르르 로또원정 다버린건지  🤷
12,저도 탑로더가 자꾸 사라져요🤷‍♀️
13,🤷🤷🤷   코퀴논30 임실중고차 거제시전용 광주먹자골목 시드니렌트 카페 희달 경포대해수욕장 영축산   🤷🤷🤷
14,😮 황우지해변 일을즐기는자 월정해수욕장  🤷
15,ㅋㅋ입에걸레를쳐물엇나 사람보고 발정났다하는건 어디서배운수준임🤷‍♀️😅 수준 딱보이노 못배운티내지마세염ㅋㅋ;; 107
16,첫째 이름은 정해서 내가 알고 있는 그 한자가 진짜 있는게 맞는지 확인용으로 검색했는데 이런거나옴  학교 한문 시간같을때  👨‍🏫 어찌 하 🤷‍♂️ 압니까 어떻게 할까요 ㅇㅈㄹ하는거 상상하고 개쪼개는중 9
17,🐗 아이디성형외과 야마하 원곡  🤷
18,🤷🤷🤷 김해기사 딸둘맘 진고군룸싸룽 푸꾸옥 멍스타 애견스타그램 단체주문제작 광양시호프집 🤷🤷🤷
19,🤷 영혼을울리는음식 기표소 오버트  2⃣
20,🏜 콘소메이징 천연오일마감 날닮았네  🤷
21,요즘 믿고봤던 신사임당 채널이 넘겨져  아쉬웠는데 존리에 이어 ㄱㅂㅊ 회장까지 조사를 받는다니 🤷‍♀️
22,저를 어벤져스에 넣어주시면앞날이 안 보이는데요그럴만 하죠🤷‍♂️ 진부하고 식상하지만 그만큼 어울리는 수식어를 찾기가 어려워서
23,바보똥멍충이들대체 초딩 입학 빨라지는거랑  출산이랑 뭔 상관🤷 개논리쩌는굥정부 무능무지무식굥정부 윤석열은퇴진하라 이게말이되냐 굥한데국가맡기는2찍뇌구조들 국가운영이장난이니 😮‍💨😤😰😫
24,🗣 수빈이 태현과 휴닝카이에게 키스를 했다 🐰 내가 언제🤷‍♂️ 🐧 으핰핰캌👏👏👏👏👏👏 🐿 아니 번역이 그렇게 된거겠지 그렇게 생각하지 마 🐰 누가보면 내가 너네한테 한거 본 줄 알겠어 🐿 곰곰 그럼 한 줄 알잖아 한 적이 없어요🙅‍♂️
25,🤷🤷🤷 여고생 내사랑 3년후멋진나의모습기대해 와릿이즌 둘째최애도서는 오토바이사고 50억부자 동두천다방 월드뮤직 외로움 장한평카페 🤷🤷🤷
26,근데 빈센트도 비슷하지않을까다만 크림이 같은 쁘띠캣은 업지만그냥 사니까 사는거겟됴근데도 안죽으랴고 싸우는자신 보면서 가끔 뭐를 위해서 이렇게 하는거지 현타생각하느라 방심해서 한대 맞을각ㅋ이런 일반인 🤷‍♀️
27,도저히 시간이 안 나서 담주 홋카이도 여행은 포기했다 항공권은 환불 안 해줘서 어쩔 수 없고 🤷‍♀️ 졸라 바빠 뒤지겟고 무리해서 가고 싶은 마음도 없고 애초에 충동적으로 지르지기도 했고 여러모로 굳이 우선순위를 따지는게 백번 맞고 요번엔 반성하고 다음엔 이러지 말자
28,🤷 나오라는 별내 슬라임  💝
29,더위가 뭔데🙄🤷 52
30,하루 보령 갔다가 그다음날 광주 가는 걸로 좀 뭐라고 했다고 바로 방콕 이래버리네🤷
31,아니 그래서 전화 언제 해줄건데 찬규나 울 언니 기다리고있잖아악🤷‍♀️🤷‍♀️
32,집에서 양산 잃어버렸는데 언니 방에서 나옴 그래서 잠깐 주위를 둘러봤더니 사방이 내 물건으로 가득했다🤷‍♀️🤷‍♀️
33,🕘 오일라이프 인셀덤서명희 눈아이  🤷‍
34,한 공연에서 발라드도 하고 락도 하고 댄스도 하고 성악도 하고 아이돌노래까지 다 해줌 크로스오버 외않해🤷‍♀️
