,tweet
0,태형이 주위에 희노애락 같이 이야기하고 즐길 수 있는 사람들이 있어서 좋네🥺 애기 행복만하세요💜
1,난나야 언제그렇게 네모내진거야 쓰담스담스담스댬 🥺🥺🥺👋👋👋👋👋
2,ㅋㅋㅋㅋㅋㅋㅋㅋ 대구어쩌구 진짜 넘넘 맛있어여 요아정 잰냥이 님두 나중에 드시기 치즈큐브 쫀맛이에여 🥺🤟
3,22 어떻게 그렇게 예쁘게 말씀해 주실 수 있으세요 햇살 님🥺 너무 감사해요 ㅠㅠ 햇살 님도 꼭 행복하셔야해요
4,0408949 절버리지마세요🥺🥺🥺흐아앙버리셔도돼요
5,크하핳ㅋㅋㅋㅋㅋㅋㅋ 너무 귀여워🥺🥺 12
6,이준호 너무귀엽고 사랑스럽고 이쁘고 암튼 좋은 거 너 다 해🥺
7,그치ㅠㅜ 그래서 올라온 클립들 다시 돌려보는 중🥺 투바투가 시카고 찢어따애들 너어무 잘햐
8,저희 친해져요ᐟ 괜찮으시다면 반모도🥺
9,220731 낮 뮤지컬 넥스트 투 노멀 🥺 918
10,진차너무귀여워🥺
11,퍼팅라인 세월에 따른 황변 생활기스 등 존재합니다  메이크업은 전 판매자분께서 해주셨고 지워가지 않습니다   헤드 인증서 바디 디폴박스 배송시 긴 신발박스에 포장하여 보내드릴 예정입니다 걱정되시면 포장 상태 박스사진 공유 드려요🥺❤️
12,내일 븨앱 해줬으면 좋겠다 🥺
13,지우님 좋은 아침이에요 🥺💙
14,시몬스님 저 못 믿으시는 거예요 🥺🥺🥺🥺 넘해요 흥 애기 삐짐
15,아알바땸에🥺🥺🥺😮‍💨
16,에이티즈 윤호 게릴라 앨범포카 구합니다🥺 디엠으로 제시해주세요   ⭕️   홍중 성화 여상 산 민기 우영 종호 무브먼트 포토카드 구해요 양도 교환 97
17,이벤트 당첨대서 받은 메구미컨셉 네일팁 진자 넘 귀엽구 소중한🥺🥺🥺💜 심플한 디자인으로 요청드렷는데 실물이정말대박 넘 만족👍 아직 못붙여봣지만 사이즈도 딱맞아요나중에 놀러갈때까지 잘 모셔두기 넘 감사합니다 최고애요😭👍👍👍   9
18,밤 대형 딱 되자마자 다들 소리지르고 환호하시는데 너무너무 자랑스러웠어 여자친구  최고 🥺
19,내 귀여운 아이들 🥺💜 69
20,령님🥺🥺 아끼자구뇨
21,0808486 진짜 국뽕｡｡｡ 장난 아니야🥺
22,333 빈 님 몸은 쫌 괜찮으세요 🥺
23,나도 연준이 생카 가고싶다🥺🥺🥺
24,876 힌님  너무 감사해요🥺🥺
25,안돼 아이패드님 다시 살아나요🥺🥺🥺
26,0923 헐 완전 정반대네 그래도 만나🥺 나 아마 진주도 갈 듯
27,360들으니까 오랜만에 360무대 실물로 보고싶다 발 다 얼어서 빨갛게 퉁퉁해지고 이빨 덜덜 떨며 공방 기다리던 시절🥺
28,귀염둥이 미미 ;3 그곳에서 우리 지민이가 너무 즐겁게 노는 걸 보니 기쁩니다🥺💕 그는 끝없는 사랑과 행복을 누릴 자격이 있습니다 ❣️  우리 우주 지민 ♡ 끝까지 지민이와 함께 💙                 ;  7
29,0 아마 라인 코드인 것 같은데 몇 개월 전부터 일본에서 유행한 걸로 아는데 나한테도 왔길랰ㅋㅋㅋㅋㅋ 언냐도 조심해🥺
30,웅니랑 놀게 해듀세여🥺🥺
31,사실 부산오는사람의 99가 바다보러정도기때문에 뭔가 이거 하기가 애매한 이건제가 부산살아서 그럴지도 몰라요 요새는 영도나 일광기장 카페가 좀 핫하구욧 아니 한옥마을이라니 최고의 컨텐츠잖아요🥺
32,3 저도 순간 보고 어디서 본 그림인가 했는데🥺🥺🥺
33,헐 짱 조아 전부터 놓고 싶었는데🥺😭😭 혹시 내 나이 알아
34,살앗서🥺
35,헉 ㅠㅡㅠ 해포는 장르를 잘 몰라서🥺🥺 아쉽네요 ㅜㅜㅠ 담에 꼬옥 같이 커뮤 가요💚 선관 잔뜩 맺는 상상😞
36,오마갓ㅅ 대박 축하드려요 완전 축하드려요🥺❤❤❤
37,2 징짜눙물흥ㅇ리면서댓글복구업마검색랫아요 눈물젖은캡쳐본만저의핸복버틈폴더에고이모셔두고잇너요🥺🥺
38,0 ㅠㅠㅠㅠㅠ 너두 넘 예뻣삼🥺🥺🥺💖 즐거왓어💖😍💖😍
39,12 루시님이랑 친해지려면 어떻게 해야 하나요🥺💗
40,헉 손민수라니 🫶🏻 근데 혹시 이때가 언제일까요 🥺
41,얼굴진짜 작고 몸개크고 근데 귀여워 근데 존잘남이야 그리고 그 상타치남 특유의 여유가 느껴져서 좋았고 택연이도 오랜만에 팬들봐서 신난거 같아서 나도 기분 대박 좋았음 🥺🥺 진짜 얘들아 어케 한사람 얼굴에 소년 장꾸 미남이 공존하냐
42,생각만 해도 행복하다🥺💗 활짝 웃는 날이 얼른 오길
