,tweet
0,딩아잊모닝💛 오늘 하루 잘 보내고나면 또 하루다 줄어들겠네🤣 시간아 빨리가라ㅋ
1,아직 민팅 중인데 무료인데 9401개 남았어요🤣🤣  ➡️ 민팅페이지 2  703
2,기사 정독 안했으면 놓칠뻔🤣🤣
3,1980  🤣🤣🤣 네 다들 더 노력하셔야겠어요  아침에 큰 웃음줘서 고마워요 쌤도 힘들지만 주너보며 힘내세요 화잊팅 0
4,바니님도 간만에 방모닝인사합니다💜🤣
5,꾸웩ㅎㅎ 궁금해도 잠은 잘 잔거지ㅎㅎ 소곤소곤오른쪽에서 세번째야🤭🤭 앞태도 아닌 뒷태를 먼져 보줬어🤣🤣
6,🤣🤣🤣그쵸 다 다른사람 맞죠맞죠ㅎㅎㅎㅎ
7,오늘 들튀의 날로 지정해서 우리 웅이 들튀하러 가까요 🤣 감사해용
8,핑핑이 진짜 예쁘다🤣🤣
9,앜ㅋㅋㅋㅋㅋㅋ 아침부터 웃게해주셔서 감사해요❣️🤣
10,방모닝🥰🥰 늘 덥지만 오는은 더 덥네요🤣🤣 그래도 즐건하루 보내셔요💜💜           4
11,축하해주실꺼죵😉🤭🤗 생일빵은 정중히 사양합니다😆🤣😂 9
12,더러운 말이라뇨🤣🤣 넘 귀엽고 공감가는 말씀인데요😁😁 헤엄 님의 픽이라니 무심헌  동방미인 궁금해지네요
13,양조절 실패군요🤣
14,42 대학병원 물리치료실 가시는 게 제일 좋아요 거긴 기구들도 다 있어서 다만 실비 없으면 도수치료값이 좀 많이나오실것😂😂🤣
15,1212 마일 넘어진 거 보고 웃은 건 안 비밀ㅋㅋ 바코드 때문에 살았어 🤣 앞으로는 조심해야해ㄷㄷ
16,이름 다 바꼈다🤣😂😭 9
17,비상선언 시사회 정우성 이정재 배우님 손 번쩍들고 열심히 흔드니까 인사해 주심 나랑 눈 마주친 거 맞잖아요🤣🤣 9
18,죠타❤️‍🔥 그래서 친구가 국어학원에서 문제 풀다가 생일추카 노래 불러줘짜나여🤣 그래도 칭구들이 추카 마니 해줘서 조아써여🤭
19,이럴수가패싯이 섞여있는줄 알았는데🤣생각보다 단단하게 잘붙네요 한번사봐야겠어요😚
20,2122 그럼 나얼굴을 바라봐🤣🤣
21,잊모닝💛 버브리가 300일되었데요 우주폰은 캡쳐도 안되고🤣 오늘 중복이라는데 진짜 더위가 시작인가봐요  모두 건강 조심하세요🥰 532
22,0912  네👀 10년이나 늙으면 후😤 그래도 방탄을 선택하게씁니다🙋‍♀️🤣
23,0912  아뉘 번갈아가며 삐쳐 아놔🤣🤣  내 손으로 주는 유부리타민보다 훨씬 좋은거 드시넹 뒤로 빠져야게따 🤭 슬금슬금🤣    1
24,어제 생긴 석진이 홈마 사진 확인하셧나요🤣🤣🤣🤣🤣 지금 확인하시고 좋아요 추천 공유해주세요🙏🏻       방탄소년단진
25,ㅋ큐ㅠㅠ 저정도 오타쯤은 가볍게 넘겨도 돼요 저도 비몽사몽할땐 정신이 없어서 오타 자주 남기거든요🤣
26,헉🤣🤣
27,0516 ㅋㅋㅋㅋ 어랏은 왜 붙은거야🤣 생일 축하해줘서 고마워ヾ˃‿˂ｼ
28,90745957 자뭐 먼저 먹어 볼 거나🤣 감사합니다 잘 먹고 갑니다
29,입덕 하자마자 시작했어야 했는데 말이쥐 넘 버텼어🤣🤣
30,귀여웡 이거 이거 81일 발매 울 벱치 델꼬 와야 하는데 🤣🤣🤣🤣 54
31,시사회 끝남 뒷풀이 있잖아요 갔을까 안갔을까만 오만번 생각함🤣🤣🤣
32,52 🤣재미따
33,저 석진이 바로 뒤에 있었던 사람이에요 😆😁 제가 이성을 놓았더라면 포토월 뒤에서라도 쓰담쓰담했을지 모릅니다😅 양 볼 하트도 못 본 줄 알았는데 봤더라구요  포토월 뒤 실루엣으로요 신선한 각도🤣🤣 실루엣도 3627
34,효과짱이쥬🤩👍 난 오늘도 운동하고 올게요 엄청 가기싫은 날이지만🤣🤣
35,4분부터 보고있다가 바뀌는 순간 캡춰 껐다켰다캡춰반복🤣 겁나 바쁜 작업입니다🤣🤣🤣
36,0912  그 고생을 올해도 할거라는 사실🤦‍♀️🤣 보인다 보여🤧
37,ㅋㅋ 범수 데이빗 서대표 정신 차릴까🤣
38,이 골빈 또라이♀️의 주둥아리는 그저 시도 때도 없이 나불나불 쉬지를 않는군  🤣🤣🤣 0
39,미역국 끓여 줄끼가 가까😆🤣😂
40,0125 폭스 잊모뉭💛 흐흐17일이라니 그냥 좋쿠나 요즘 같아선 시간들이 눈치좀 챙기고 점프했으면🤣 오늘도 힘 내보쟈😍😍
41,430 준비하느라 정말 힘들었어요😳 마이 자시소🤗🤣🤣
42,팬콘 끝나고 앵콜을 외치는게 아니라 야근해외치기🤣🤣🤣🤣
43,1 나 희선언니하나만 만들어 줘🤣
44,버거킹과 맥도날드 말고는 본적도 없어요🤣
45,선착1명이라뉘 하하하하 🤣 337
46,배대지 요금 저렴하다고 추천받아서 다른데 옮겨봤는데 ㅋㅋㅋ 부가서비스요금이 더 나가서ㅅ  결국 괜히 옮겨다니지말고 기존 배대지를 이용해야겟다고 느끼게되는 아침이엇다🤣🤣🤣 무엇보다 실사사진을박스사진
47,31502975 ㅋㅋ다 제자리를 걸으면 안될텐데 말이죠  🤣 잊데이 보내세요💛
