,tweet
0,종류별로 하트를 보내보아요😍😍 71
1,30 헐 너무 예뻐요 😍
2,ㄲ ㅑㅏㅏㅏ 창호 형님 쵝오 설희가 돌아와서는 제습기 한 대 좋은 거로 선물해준대요♡ 흑흑 설희 귀엽게 봐주셔서 감사합니다🥺❤ 저도 탐라에서 잘부탁드려요😍💕💕💕
3,왁 과찬이셔요😆 보정 감사함니다💖😍
4,93 떠하미 요 짤 너무 좋아😍😍 너무 귀여워ㅋㅋㅋㅋㅋㅋ
5,잘자아😍😍
6,2 푸딩 님 얼른 절판되어야만응 ㅜㅜ 그렇게 달래주시면 저 😍 이렇게 되어요 푸딩 님  헉 부담;;
7,워너원 영원히 😌❤️😘😂😭🥹🥳🤣😍☺️💕👌🥰😇😍😘😚😙☺️🥲😅🤩🥳😚😛🫣🤗🤭🤩
8,자연스럽게 이쁘시다 😍
9,🐦 ☆트위터 교류해시 추천☆ ────────────────── ㅇ님은 최근에쓴임티4개로성격알수있다 ♪ 181 ❤️😍🥰😱 사랑이가득한❤️❤️
10,에서 볼 수 있고 우리 몬엑의 좋은 추억을 여기서 볼 수 있게 해줘서 좋겠다  후회 없이 보십시오 👍🏻🤟🏻😍     랩업 몬스타엑스 보러가기  92740  랩업 랩업   유니버스 29
11,3퍼면 안 좋은 거 아냐  나는 이주연ㅇ랑 92% 나왔었음😍😍😍
12,민석시 😍
13,날씨도 퇴근을 축하해주고있나바 즐기자😍
14,8월은 행복만 가득하세요 😍
15,와치라는 여자 뽀뽀해줄거야아아아 히히 마자요 아 생일날 이것저것 뭐 많이 떠서 자가격리 안 심심하고 좋앗어요 헤헤 와치짱두 행복한 하루 보내셧길 😍😍🍀🍀
16,감사합니다 정말😍
17,우산 없어도 괜찮아🎵🐈‍⬛ 비 조아 고양이😍😍🐈‍⬛🐈‍⬛🎵🎵🎵☔️ 2
18,0607 제가 앞으로 열심히 치근덕 돼볼게요😍😍
19,와이님 잘 부탁드려요😍
20,2 저 이거 받으러 슴콘가면 되는 건가요😍
21,다음 주면 보는 건가 기출문제 다시 보고 복습해야지 😍
22,두부님새글😍 가보자구
23,미친 너무 떨려 갑자기ㅠㅠㅠ 우리 호비 날아오르자 너의 모든 걸 보여줘 😍😍 렛츠번호비팔루자       518
24,금손 홈마님들 많아서 넘쭈음😍😍
25,47   153 이번달말에 쌉초님도 꼭 입국신청해주세요😍😍
26,아  호바 나의 원픽을 🤩😍🤩😍🤩😍
27,9122 수고많앗다앙😍
28,710 2요ᐟ 진짜 마음 너무 착하신거 같아요😍
29,시즈니트친소 시즈니트친소   얼레벌레 트친소 극  해프랑 ㅉ6친 해주실 트친 구해요🤍 맘찍 해주시면 찾아갈게요😍
30,핸섬😍 리노  필릭스
31,얼른 들가고 싶다 😍😱 392
32,무한 감사합니다  다시 힘차게 자볼게요 꾸잉 😍😍😍😍🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹
33,렌티큘러가 조금 남을 거 같아서 두 분 추첨했습니다  공구 이벤트 참여해주셔서 감사합니다 디엠으로 주소 부탁드릴게요 😍    2
34,👫🏻 2022 베프 확인 챌린지 🙈😍 저런님의 베프가 맞으신가요 얼른 알아봅시다🥰🥳👇🏻👇🏻👇🏻👇🏻🥳 3
35,괜시리 맘이 울적할 때 우리 드리미들 보면서 달래겠습니다💓😭 디블님두 항상 건강하시고 행복하세요😍🧡
36,그림 많이 칭찬해주셔서 진짜 감사합니다😊 이제부터 나미꼬 많이 그릴게요 🥰🥰🥰😍😍😍❤❤❤❤❤❤❤❤ 0
37,귀여워요 😆😍🔥
38,웅 그럼 ㅎㅎㅎ 😍😍😍
39,0097 꺅 감사합니다 😍
40,999 더 더 올라가세요 쭈욱 올라가보자구요 😍💗💗
41,경수는 진짜 옆선도 예술😍😍😍
42,호바 넌 널 믿고 난 널 믿어💪😆😍     제이홉  4
43,하 마지막까지 세상 제일 귀여운 강쥐들 누구임🥰🥰😍😍🥰🥰
44,8월에 생일이시구 그런거 아니져😗😉ㅋㅋㅋㅋ 저두 8월이 너무 좋아졌숨다😍😍
45,정한이 🥰😍🤩💕💞💓💗💝💖 493
46,둘이 넘 예쁘다😍💜💜 오늘 최고였어😍💜💜 사랑해🙆‍♀️💜💜
47,ㅜㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 선빵은 선팔이죠팜님 그개몬데 여기두 저기서두 팜님 뵥뾱 잇으니까 저스트 팜님 온리 팜님😍😍😍😍😍
48,너란걸 뽐녕   😍💦 1
49,0403 콘서트때 되면 꼭 만나서 가치가자♡♡ 고마워 😍
50,깅 잘자요😍😍 깅은 저한테 항상 조은 사람이엿서요
51,20110305 감사해용 시즈님😍오늘은 노 다욧  맛있는거 먹구 힘내보겠습니당 ☺️💞💞
52,썸머샘😍😍😍😍😍😍😍😍 엄마한테똥파리처럼싹싹빌어서허락받앗어요💕💕
53,상상력 풍부한 막냉이😍
54,412 알게쏘😍
55,너무 잘생김😍
56,😍 방탄소년단   남준 김남준 알엠 방탄소년단   16
57,제 바지 도깨비 바지라 절대 안찢어져요😍
58,우리 쨔마니 망개표정😍😍 형아 보러온 천몇백만🤣 팬들생각에 귀여워지는거봐 너무 귀여워😆😆😆    38
59,와얼굴 존잘😍
60,웅텍스탔어요탈때는 급해서 사진 몇장 찍고 내릴때 영상찍음 너어어어어무616 이뻐😍정차할때마다 대기하는 사람들 반응도 좋고 미미미미😚  데뷔6주년축하해 웅텍스 비와당신최고 평시다짐 0
61,사루비아 꽃을 심었어요 화분 이름 추천 해주세요😍😍 3
62,진짜 울 가좍들 너무너무 사랑해😍 사랑해요😘❤️‍🔥
63,책상에 🤩 너무 예쁜데여 😍😘 온뿌와 영원히 함께해요 💡
64,39 벌써부터 씬난다😍
65,553 어맛 미르님꺼 하죠 뭐😍❤️‍🔥❤️‍🔥
66,고마워여😍펭님도 건강조심❤️    0
67,1207 기대됩니다😍😍😎😎😎
68,저능 07임당 잘 부탁드려요😍
69,5💖🍀2022    🎶 여러가지 표정이 찍혔습니다📸 너무 많아서 고를 수 없어🤔💭😆💕 최애 멋있다는 말 한마디밖에 없어💘😍 멋진녀석들  일본콘서트  김진현 キムジンヒョン   한을 ハンウル 🐨 新大久保   758 707
70,야들아내머리말려줘😍😍
71,040127 아이런 넘귀여버요😍 완존강아띠
72,꺄아아아아  요뽀깅 어떤거 하구 싶어요 😍🫶🫶🫶
73,캐릭터 설정표 커미션 받습니다 샘플이 많이 없어 선착순 2분 20% 세일들어갑니다😍  40마다 일정 금액 달성시 무작위 2분께 디자인 해드립니다 많은 관심부탁드려요 3 설정표커미션 디자인커미션 설정표 캐릭터설정표 디자인
74,333  0651 193   9999 3 33 35 9 꺄악 나무쌤도 와따아😍😍
75,2 몽글님두 행복한 일만 가득하세용😍💕
76,규카츠 실크푸딩 오랫만이야😍 8801
77,8원의 잘 시작해 가자 이사진은 제일 좋아해요 나의      나무 🌳💕😍  라키  아스트로 1
78,프로필 들어가서 인용하기 트위터야 울 율하님 트윗은 바로바로 보이게 해주라구 열심히 하자😍  우리 율하님 갓생사시는 애긔천사예요 말도 예쁘게 하시고 생각도 넓으시니 대화하는데서 즐거움도 폭발 꼭 트친으로 데려가셔요🤗 2
79,8월도 잘부탁드립니다 여러분 비록 탐라에서 민혁이만 앓고있고 미흡하고 모자란 부분들이 많은 저인데도 하반기까지 버텨주셔서 감사드리고 앞으로도 잘 부탁드립니다 우리 다음달에도 그리고 내년에도 같이 덕질하면서 그렇게 지내보아요 다시한번 감사드립니다♥건강하고 시원한 8월이 되시길😍 9
80,오 완전 옛날에 봐서 잊고 있었는데 다시 보니 넘 귀엽고 좋네요 감사해요 😍
81,이거 보는 사람 8월도 나랑 행복하게😍
82,꺄 안녕하세요 잘 부탁드림다 😍
83,넌 쵝오😍😍😍😍😍 083
84,조쪽아😍😍😍😍 1
85,원영아😍😍😍😍😍
86,맛나게 드셔요오오오🥹😍
87,짱조아 융아😍😍
