,tweet
0,조심스럽게 수줍게 꺼낸 종이에 화이팅 ㅋㅋ 울 석지니 답다😂 역시 울 석지니는 내 웃음버튼🤣 울 석지니 쵝오👍🏻👍🏻🙆‍♀️💜🤗      방탄소년단진
1,3 잘부탁드릴께요 🤗
2,아마 똑똑히 말하지 못했을 거야🤔😂 이제 뭐 할 필요 없어🤗🤗🤗
3,정한이 귀욤🤗🥰☺️ 812
4,220802 기현 프메  아코🧸🤗 14
5,히라키요 팬 칭구들🤗🤗
6,9 너무 잘익은 사람이 누워있어요 🤗맛있겠어요🤤
7,초등학교 입학을 만 6살에서 만 5살로 1년 앞당기는 학제 개편 방안이 이르면 2025년부터 시행됩니다   🤗로제우스로 놀러오세요🤗 ; 677  초등학교입학 만5살 교육부 학제개편 초등학교입학빨라진다 초등학교입학나이
8,2020 라윤님 됴모니잉🤗🤗 파주날씨는 괜찮아요 여긴 아주 꿉꿉해요😖
9,오라구용  두 팔 벌려 환영 🤗
10,101 고마워욬ㅋㅋㅋㅋ 🤗🤗🤗
11,9944 이거 사주께 나 대신 출장가주라🤗
12,헉 레나님 안녕하세요 너무 착하셔서 전부터 지켜봤는데 다가와주셔서 감사해요 하지만 저는 레나님과 친해지기 싫은 마음이 굴뚝같네요😳 탈출한 돌쇠와 친구하는 취미는 없거든요 💦 인수인계나 확실히 해주시길 바래요 🤗🤗 0
13,늘  정말 참으루 감사하게 생각하고 있었답니다  덕분에 행벅한 덕질읗 할 수 이써효🤗🤗🤗🤗
14,1211 감사한니다 알럽 🤗
15,벌써매콤맛집🤭🤗  물까치 80
16,부러비🤗 좋은시간가지세요 울지민이와 같은공간인걸로도 행복일듯 결과물도 보여주셈😉
17,인정🤗
18,우리도 즐거운 시간이 였습니다 다음에 꼭 다시 놀려와요🤗🤗🤗
19,여러분 🥰디어마이킬링 굿즈 신제품도 나와요 내일 출시됩니다 많관부 감사드려요 🤗 78
20,오디야 오랜만이야🤗 가슴에국밥쏟음
21,오 이런 괴학적 근거가🤣 안녕히 주무셨나요 유고님 자고일어나 안 아파지셨기를 바라요 🤗
22,블로그대신트위터에쓸게요 🤗👍
