,tweet
0,병원 때문에 왔어 조심히 다녀갈께😊
1,내가 애정하는 혜화카페 키이로 의 두번째 공간 모리앤  드디어 가봤고 역시나 아늑하고 따듯한 공간이었다 디저트야 그냥 다 맛있지 뭐 ❤️❤️  여기부터 혜화카페 타래 달아야지 😊  혜화모리앤 카페모리앤
2,69420 8292915555  차는 관심없었는데 더 관심없어지는 마법 😊 오직 테슬라만 ㅎㅎ
3,생일축하드려요 행복한 하루 보내세용🎉😊
4,안녕하세요 함똼 님 맞팔 인사 왔숨니당😘💖 먼저 다가와주셔서 감서함니당😊 잘 부탁드려요💓❤️‍🔥💗💝💘💕❣️
5,7 저는 이제 첫 끼 먹으러 가요ㅎㅎ😊 벤터님 오늘 경사스런 날인데 맛있는 거 드셨어요😊💜
6,앙스타 롤온 향수 재판 공구 텐쇼인 에이치 하스미 케이토 카제하야 타츠미 자리 구해봅니다🥰 공구 탑승 현물화 후 양도 전부 가능합니다😊 일괄 공구 탑승 희망합니다만 관세컷에 걸릴 시 개별 탑승도 생각 중입니다  글 내리기 전까지 계속 구하는 중이니 편하게 문의 주세요🙇‍♀️
7,많이 읽은건 아니지만 난 변태같이 서술 엄청 자세하고 있는거 없는거 다 보여주는 작가님이 좋은가봐😊 ❤작품 토주 다더 와우 나착건
8,너무 귀여운😊❤️❤️❤️❤️❤️❤️ 너무 깜찍한
9,😊 그래도 전 착하니까 선택지를 드릴께요
10,2 저는 그런 일이 일어나는 게 싫어요 ☹️ 당신도 좋은 식사 하세요 😊 사랑해요 🥰🫶🏻
11,앙스타장터 2차 공구입니다 앙스타 롤온향수 공구합니다  메인트 필독 입니당 ☆1인당1개☆ 공구주꺼 포함 4개 받습니다 디엠주세요😊  1차금 24 2차금 해배비국배비수고비005 50
12,덕질 하는 게 좋지 😊
13,7 안녕하세요 메인트 둘러봐주세요😊
14,🌸🐢🐢🌸 손석희이주연😊😊31 🇰🇷🇯🇵
15,착석 😊
16,그림 많이 칭찬해주셔서 진짜 감사합니다😊 이제부터 나미꼬 많이 그릴게요 🥰🥰🥰😍😍😍❤❤❤❤❤❤❤❤ 0
17,98722537 오히려 부드러워요 스타킹에 비비면 😊
18,⚔ 예천 산악회 동대문클럽강추 추억팔이  😊
19,2 8월달에도 잘 부탁드립니당😚 친해져용😊
20,29 히히 화이팅 입니다😊
21,쪼아 😊 722
22,님은특별히기각이요😊😊
23,82823456798 저렴하게 하고 있으니 둘러봐주세요😊🙏
24,니지산지트친소  오늘까지만 받고 내릴게요 😊 8
25,1214 😊 꼭 불러드릴게요
26,헉헉 😊💕
27,열심히 잘하고 계시니까 급하게 하지말고 샘 페이스대로 가요😊😊 늦는건 잘못된게 아니니까요❤️❤️
28,임티 잘 받았어어어😊
29,100999 헤헤 귀여워 셔벗근데 어디든 눕히면 도로롱 잘 잘것같은이미지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 헤에 귀여워 잘어울린다 셔벗은 달콤한 향이구나 레몬향도 잘 어울리고 😊😊😊😊 오구 우리 애기강쥐
30,물론이지😊
31,202 바다 상대는 누구인가여😊
32,아아 맞다 이번엔 아예 준비를 해왓짛ㅎ  커튼콜 종이 던지기 후에 결말종이만 아예 따로빼고 나머지 던진 후 결말종이 세로로 반접어 쟈켓 안쪽에 고이 넣고 퇴장  어떻게든 한 손에 다 쥐고 던지뒤 손에 한장만 남기게 하려던 오연 우진이 귀여웠는데 ㅎㅎ 지금거도 좋아 깔끔하고😊
33,소녀시대 태연 레드벨벳 에스파 포카 포토카드 양도     70      50     30  배송비 미포함 가격입니다 즉시 입금 가능하신 분만 디엠 주세요 😊  ⭐️ 하자  28
34,데네브도 꼬마워😊
35,1205 유 에스홀 유얼 손옵어비치 법유 😊🖕🖕🔪🔪🔪🔪
36,드디어 샀구나😭😭😭 정말정말 축하해🎉🎉🎉 개봉품이면 어때 레어짱이 원하는 걸 얻은 게 더 중요하지😊 진짜 레어짱 속 많이 썩힌만큼 예쁘게 잘 장식해서 즐겨👍 레어짱도 이제 500개 한정 도데카민 기유 오우너😉
37,ㅏ 😊🔨🔨🔨🔨 9
38,중간에 와서 밥 집착광공님 제스쳐하고😆 눈 반짝이며 음료수 줄게😀 하고 이따 봐👐 하는데 이분이 말을 안 한건지 시끄러워서 안 들리는건지는 모르겠지만 암튼 실물에 가깝게 잘생기게 찍혀서 공유합니다😊   조승연 아육대
39,사이좋은 우리 야수들 😊
40,🦌 현덕지구 복면가왕 오늘아님 부영주택  😊
41,999 다행이에요 저도 최근에 알리에서 처음 시켜본거라 좀 불안했었는데 배송 빨리 온다는 말 많아서 믿고 사봤더니 배송 빠르게 해주는 곳들은 예상일보다 좀 더 빨리 오는 것 같더라구요😊
42,영상 편집 도전해봤는데 생각보다 재미있네요 😊
43,지석이 말을 반듯하게 하는데다 예쁘고 귀엽고 잘생긴 끼쟁이라서 음방 엠씨도 잘할 수 있다고 봅니다😊 언젠가 기회가 된다면 할 수 있길😊
44,무솜인덕장터 솜인덕장터 솜솜옷장터 투톤 쿨가이 화이트그레이 신발 182에 양도합니다 합배 태워져 있습니다😊 5
45,친밀감 짱친 하고 싶어서 슬쩍 😊
46,울님이 더더 👍👍👍 첨이시라 힘드실텐데 매일 빠짐없이 늦은시간까지 🥲쉽지않은일인데🫂 항상읏쌰쌰💪💪 해주셔서 감사함다🙏💜💜  방나잇이에욥 🌙😊
47,62 친해져요😊😊
48,제가 어린이집때부터 미술학원을 다니며 여러 것을 배웠는데요 이번 방학에는 아크릴을 배우기로 했습니다 신난당 빨리 가볼게요😊😊😊
49,오모차랜드 홍대점에 이츠키 슈 싸인하고왔습니다 😊😊❤❤ 371
50,ㅋㅋㅋㅋㅋㅋㅋㅋ뭔가 하기로 한 이상 책임감을 가져야할거같단말이지 고마워😊
51,이게 누구일까 하고 자꾸 혼자 궁금해했는데 바이커 커플 1961이란 작품이구나😊
52,오늘 휴가인 사람 많겠지 아무래도 나 휴가 잘못낸듯😊 넘들 휴가 다 갈 때 넘들 휴가 안 갈 때 그 사이에 애매하게 끼인😭😭 방학주세요
53,헙 제가 착하다니 우우 과찬이세요🥺😭 저와 친해지는 문은 이미 열려있습니당😊👍 언제든지 환영이에요🧡 원하시는대로 맘껏 들이대주세요 저도 들이댑니다😉 💓꼭 친해져요💓 07
54,418 4등 이네유 😊
55,기프티콘 필요하신분 그냥 맘 누르거나 디엠 주세요 모두 다 드릴게요 😊 섹트 일탈 맘눌뎀
56,안녕하세요  다시 확인해주세요😊
57,😭😊    태형이 포니테일    🙏 😢 😭    😍  7
58,0 좋아해주셔서 기쁘군요😊 ♡
59,우왕 좋아용😊💜 잘 부탁드려요오
