,tweet
0,케키먹고싶다 아 뭐 먹고싶은게 많은거보니 배란긴가보군🤔
1,전에 생중계한거 아님 다른거🤔
2,012 급변하는 시대에 평범하게 무능하다 로는 전부 커버가 안 됏던거 같음 상류층이 착취해서 사치햇던 만큼 화려하고 섬세하고 반짝거리는 문화가 잇엇으니 선망하고 소비하는 사람들이 이해가 안되는건 아니지만 러혁이든 프혁이든 혁명을 음해하면서까지 기득권 보호는 좀 아닌거 같기도 🤔🤔
3,존리는 어떻게 되었나 🤔
4,보지는 못 했지만 와이프에게  편의점에서 아이들이 저녁을 사먹는 내용을 듣고 😭😭 저는 그들보다 좋은 아버지가 되는 것으로 그리고 커져가는 이 포인트 인가요 🤔😍
5,와 이 책 제목이 뭔가요🤔 1
6,근데 드씨 새로 올라오면 어디서 듣나요 🤔 유튜브 뮤직 쓰고있고 전까지는 친구가 만들어준 재생목록 떠먹었음
7,🤔😅🙈 11화 박동기 회장 어캐 입덕시킬지 개궁금해 임고모쪽과 연결된 핵심인물인데🤔 서인국 ソ・イングク  미남당 é 87 5
8,000825 백퍼 압미다🤔
9,어어지금요🤔
10,2 아그초그초 이게 진짜 진미인데 새럼들이 이걸모르네요 차암내🤔🤔
11,옷 갈아입고 계단 올라가 말어 🤔
12,누군가 절 추방햇는데 🤔🤔🤔🤔
13,뭐라고 불러드리면 될까요 🤔🤔🤔🤔
14,그리고 뭐때문인지 초중반까지 종구사내가 우진이로 경수우진이 사내 같이 보였다 왜지🤔 종구사내는 결말만 본인이 원하는대로 이뤄지면 그만이라 어떻게든 살살 구슬리는데 경수우진은 시종일관 차분하게 대하는데 속에 감추고있는게 많은 듯한 느낌이었다
15,옛날엔 도대체 어떻게들 했나 싶습니다 아마도 은행창구직원과 증권사 직원과 복덕방 사장님의 의견이 절대적이었겠죠🤔
16,🤔하루정도는24시간스카에서 자면 될지도 몰라
17,141618 🤔 헛간 큰회색 같아요
18,아 근데 셀카 찍을때 허리손백허그 애들 얼굴 만지는거 가능한거구나🤔 1  유교걸은 몬하게찌이 긁적 흑 멋지다 나는ㅋㅋㅋ몬한다🥶
19,진짜 이 노랜 꾸준히 듣는 거 같아🤔 7
20,넵 🤔🤔 7
21,운송기 왼쪽 벽 가운데에 끼우고 운송기 가면 올라갈거에요 🤔
22,그거 그냥 유튭알고리즘때문에 듣는걸껄 오타쿠노래만 들어서 그런노래만 추천해주는걸로 아는디 근데 이것도 한달도 더된얘기라 이젠 좋아할지도🤔
23,앨리스 여름스킨은 기본룩에서 따와서 큰 변화는 없긴한데 백설이 사줄까🤔
24,오늘 하늘이 너무 예쁜데 출근길이 너모 힘들다 😨😨😨 어제 얼마나 마신거지🤔🤔🤔 98
25,🤔벌써부터 들려오는 관절 나가는 소리
26,역시 옷 만들기는 어려워요🤔 차라리 셔츠만들기 연습을 더 많이 하고 다른 종류를 만들어보는게 나을수도 67
27,123 앞으로 계속 섹시컨셉 기대하겠다늉😏😏 근데 승하야 어제 분명히 메인트 맘눌이 900개가 넘었거든 그런데 오늘 보니까 확 줄었더라고🤔💭
28,삼겹살은 못참거든요🤔🤔
29,987 저희형도제가트위터시작하니까트위터를접었는데혹시🤔🤔🤔🤔🤔🤔🤔🤔
30,움 단체주피감을 다는게 아니라면지금 주차에서는 잘 안터질템데 🤔🤔🤔🤔🤔어렵긴하네요 단체 주피감다나요
31,프리랑 앙스타 굿즈들이 너무 많아져서 지금 난감한데 히로아카랑 불꽃소빼버려야하나 아깝긴한ㄷ특히 히로아카반만 뺄까고민되네🤔  이렇게 고민하고 또 몇달을 안바꾸겠지 나란 닝겐 안봐도 뻔하다 그치만 이제 슬슬 리뉴얼할 시기가 되긴했🤣
32,1111111 생각해보겟습니다🤔✨️
33,맞아맞아 계획 이름도 영겁회귀인거 이미 엽겁의 세월동안 회귀가 진행 중이니까라서 아직 이 단계는 진행중이고 끝났다는 언급이 아직 없으니까  다음단계로 못넘어가고 있는거 아닌가싶음 🤔
34,0220 추천 🤔  아싸 둘이싸우고 자연스레 내꺼되는 결말
35,그니깐요 뭔가 문대랑 머리색랑 눈 색은 똑같은데 인상이 달라서 문대가 아닌것 같기도 하고 근데 이거 보면 잔머리 위치가 비슷해서 머리깐 문대인 것 같기도 하구요🤔
36,버디판의 광기의 시작인가🤔
37,그러게용🤔 음 코난도 해보고싶고 앙스타도 같이해보고싶어요ﾉ´▽｀ﾉ 6644
38,1018 🤔‼️한 번 생각해보겠슴다🙃
39,06137 0526   에헤이 언니먼저죠🤔🤔
40,2022 럭키박스  마음을 비워서 그런지 작년보다는 괜찮은거 같은 이기분🤔 모지;;;;;;;작년 럭박에 윙즈 딥디 없어서 아직도 슬픈자ㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋ  0
41,누구보다 빠르게 남들과는 다른작가님 좋아요 뀩뀩이 1등악 구여우셤🥇🤔  배드포지션 주도 4
42,아니 뭐 하는 겨🤔 84
43,저는 지금 고민중이에요🤔 마라탕을 시켜먹을지 그냥 집밥해먹을지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 수박주스도 사오셨나요
44,8시에 하려나🤔
45,콜북 정리 영상 일부 언젠간 유튜브에 올릴게요🤔 32
46,찬성아 오늘은 운동 안 했니🤔 13
47,1회라는 건 몇번 더 있다는 건가 🤔❓❗  위너  7
48,간식류는 사실 다들 일하느라 바빠서 먹질 않아서 음료도 결국 다들 먹던 것만 먹으니까 🤔 커피빈 밀크티카 더 사야지
49,28 방학에는 57시 29 먼저 다가와 주세욥 30 🤔
50,🤔 작아서 인재가 못됨
51,탈색을 해야하나🤔
52,2 넘 오랫만에 흥분해서 벽타서 일수도🤔 이제 구경만 하려구요
53,오랜만에 하셔서 근육이 놀랐나봐요 자기 전 잘 마사지 해주시면 내일 괜찮을지도 몰라요🤔
54,저 헤어스타일 미쿠 콜라보인걸로 아는데 너무 귀엽다 ㅠㅠㅠ 사진은 주워온건데 공식 맞으려나 🤔 문제시 내려요 6478
55,시작부터 분위기🤔
56,네이비만 사려다가 여자애들 둘러주려고 크림도 샀는데 잘 코디할 수 있을까🤔
57,저게 무슨 논리야 🤔
58,14 내 실력 중에서 고르자면 용병아닐까 내 실력 안에서만 고르는거니까🤣🤔화가는 휘장까지 땄지만 주술사도 땄었는데 지금 완전 못하는거랑 똑같ㅎ
59,빨간표시가 특설매장에 대한 수량제한인지 전체인지🤔
60,00  그런가 내주변은 덕성도 대부분 알던데🤔 그래도 국립대면 시설이나 이런게 더 낫긴 하겠다
61,봉봉님아이퐁은 애도리 게임 못하는거 맞아요🤔
62,니어 모드 만들어도 돼 🤔
63,14 띠용 무적기 두번 써서 생존기 분배도 쉬운데 🤔
64,0613 서울 가는 버스 시간이 🕰🤔
65,0115 0904때 뭔가 있을까요 그럼🤔🤔🤔
66,72 엄청나게 똑똑해야할거같아서 혁명은 안끌리네요 🤔🤔
67,갤러리에서 잊시 사진 찾을때 나같은데¿¿🤔 5
68,2585 비공식이예요 중국 제작 무속성 인형이라구 하더라구요😆😆무속성 인형은 중국이 전문적으로 제작한다구 하네요🤔
69,0321 우웅 그러더라구요 그래서 처음엔 읭 했었음요🤔 모멘트 들어가서 리틧하는 거에요
70,0616 🤔🤔   이거 기만이다 아놀드 같은 갓캐를 짜면서 촉이 안좋다고요 이거 ㄹㅇ 대박 기만이다 그치 아놀드 응응 우리는 낮잠이나 자러가자 8
71,표찾고 뭘먹을수있을까🤔
72,너무 복잡해서 미니미버전으로 공부하는중 🤔🤔🤔 21
73,콤부차만 시고 맛도 나는데 우유만 넣으면 변하는건가 산이랑 반응해서 서로 융합반응 일어나서 그런거뭐라는거냐🤔
74,일단 유심을 사둬야 다음 주에 바로 통신사 변경을 하겠지🤔
75,확실히 프사에범천 란과 린도가 공존하고 있네오🤔
76,스포라서 안 나온다 보기에는 하나마루 혼마루에 오키타조 포함 극 수행 다녀온 남사들이 한트럭은 되는 것 같은데🤔
77,이번주 금요일에 저희 인하우스  에 참석하지 못하더라도 걱정하지 마세요 🤔  아래 링크를 사용하여 이자 공동 설립자인 에게 질문할 수 있습니다 👇  78
78,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저게 존 시나에요☺ 저승으로 납치되겠어요🤔
79,육군 훈련소🤔
80,오빠 답장 한 번만 해주세요 잘 지냈어요🤔🤔🤔🤔
81,22 😉🤭🤔🥰😍💕❤ 이정도
82,왜 기광오빠는 나이를 안먹을까🤔 진짜 점점 더 잘생겨지는 우리의 햇살💚 평생 사랑할게🫶🏻 내 사랑 다 가져가😍  하이라이트 이기광 기광 900330 80
83,아무리 생각해도 이번 게릴라 활동은 트타가 찢은듯🤔🤔
84,예대 이선좌 왜케 많아🤔🤔
85,감사합니다💚 뭐라고 부르면 좋을까요？🤔
86,🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔전스엠빠로써 그건전혀아닌거같은데😋😋😋😋
87,고정씨피🤔🤔🤔 애초에 논컾도 먹는 마당에 고정씨피란게 있을리가 그냥 주시면 먹습니다
88,햄스터용 술은 안타깝게도 없거든요🤔 타협할 수 없는 문제인가요
89,중국어 공부 하루에 한 문장씩 하고 있는데 이거 병음도 쓰는 법 외워야 하는 건가 싶구🤔 시험 볼 생각이 없어서 그런지 나름 즐겁게 하고 있다
90,뱃사람들 미신 엄청 민감하지않나 진수식 관련 징크스 중에 줄 한 번에 못끊는것도 있었던 것 같은데 흠 🤔
91,이 남자 무슨 에유던 다 잘어울려서 과몰입된 이 사람 너무 힘들어요🤔
92,날씨 너무 더운데 아이스크림 잔뜩 먹고 탈난 레드 보고싶다 뤼스는 그런 레드 보고 네가 어린애냐고 윽박지를 것 같은데 왜 나는 이 커플이 서로에게 꼽주고 윽박지르는게 좋지🤔 암튼 레드 탈나서 하루종일 끙끙대니까 잔소리하면서 링거맞춰주는 대위님
93,기대를 너무 많이 했나🤔
94,네 전 얼굴천재가ㅇㅏ니라 테러범인데🤔🤔 잘생긴사람은 뒷모습부터 잘생겼어요ᆢ❤ 잉님 뒷모습부터 설렌다구여
95,근데 이건 이거 자체가 숙어인데🤔 제시어가 기왕이면이야 되는거 아님 2
96,대충 요령을 잡아서 목표는 어떻게 달성하는데  결승 1착까지는 어려운 애들이 많네🤔🤔🤔
97,전 여기서 타팬이 누구일지가 너무 궁금 🤔해요 꽉지는 다 같은 팬이자나요 ㅋㅋ
98,5개 세트에 22900원 사 말아 🤔
99,0328 흐음너무 애매하시면 그냥 넘기셔도 될 거 같고요🤔
100,그래서 오늘 찐건가🤔 85
101,🤔근 20년동안의 변화라는 거구나    ㄴ 성형외과 쪽에선 참조 자료가 될듯 933
102,ㅇ0ㅇ 쇠 부엉이었네요 뭐야 저 이제 알았어요 부엉이도 있었네요   우아함 어른스러움 어디에 무서움이 있어요 🤔
103,0045 네넵  돈좀 들으시겠네요 지금 모닝이 5만키로정도 타신건가요🤔
104,95 그쵸  그 멤버 포스트만 모아볼 수 잇는 건 조은데 딱히 팔로한다고 해서 그 멤버 알림만 오는 건 아닌거군뇨 🤔 그렇다면 팔로우는 대체 왜 잇는건지
105,나는 중학생때 봤는데 그땐 15세 말구 19세 였던것 같은데 🤔
106,2022 737 1102  오 그냥 올려도 되는 되는 걸🤔🤔
107,피곤한데 운동을 하고 자야할까 🤔
108,03 그르게요 이게 머선일이람👾🤔👾🤔
109,응 돌아가자고개를 끄덕이곤 자리에서 일어난다흠🤔가게 오픈하는 거 내가 도와줄까
110,0305 탈까봐 걱정했는데 오히려 너무 하얗죠 속에 내용물을 더 넣어야되는거같아요🤔
111,쌍디 이름🤔
112,진짜 개뜬금 댕댕이 원래 생각은 진작에 물어서 구출실패를 노린 것 같은데 🤔🤔🤔
113,박신지 야수설🤔 ㅋㅋㅋㅋ 16
114,근데 리모정도면 인수 하겠단 회사가 나올법도 한데🤔 그러기엔 이름값이 또 너무 높긴 하지
115,바닐라통카버터랑 달래였나🤔 그 버터가 좀 맛있었던 기억 근데 난 비슷한 가격이면 보르디에 먹을래 브런치는 버터모닝이나 샐러드가 더 나을 것 같기도 하고 근데 미니팬케이크 같은 거 넘 귀여웠다
116,확실하지는 않지만 어느 정도 걸러둔 편인 것 같아요 🤔🤔
117,이방인 다시 읽고 싶은데 왠지 초겨울에 읽어야 할 것 같아🤔
118,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥업데이트 후에 생겼어욤 근데 아이폰만인가 는 모르겠꼬🤔
119,이름 뭐라 짓지🤔 439
120,셀마 뭐 그리지🤔
121,근데 문자는 언제 오는거징🤔
122,아앜ㅋㅋㅋㅋㅋ 디지털카드ㄷㄷ 요즘 핸드폰페이 많이쓰니까 카드디자인을 저렇게 낼수도 있겠군요🤔 결제할때 움직이는 후후 저 굿즈 아크릴이라 무기로 써도 괜찮아보여요 ㅇ;;
123,물론 모든 형태의 경제위기 상황에서 모든 긴축을 반대하는 진보적 입장에서는 금리인상도 비판하는 분들이 많지만 문제는 그 결과가 어떨것인가란 점  하지만 대체로 다들 거시경제에 무관심한 것은 물론 특정 정책의 시장의 작동으로 인한 결과까지는 생각하지 않으려고들하니🤔
124,1793 파워풀하고 카리스마가 장난아니라 ㅋㅋㅋㅋㅋㅋ 그런 취향이 아니시라면 그럴 수도 있겠네요🤔
125,요 며칠간 자다가 처음 깬 이유가 전부 더워서인데 오전 6시인데도 이 날씨가 맞나 싶을 정도로 더운 듯한🤔 보통은 숙면하면 일어나기 직전까지 잘 안 깨는 편이라 다들 더위 조심하시길
126,최근에쓴임티4개로성격알수있다 🥲🥺🤔😉  오호
127,19 저는 손이요 말씀하신거 말고도 옷 제복 같은것도 해당되지 않을까요🤔
128,나를 행복하게 하는 것은 돈이다 돈을 빨리 벌 수 있는 방법은 🤔
129,특전으로 내보내는거다 보니  🤔🤔 현재 특전으로 보낼 외전 페이지까지 합치면 19페이지인데 조금만 더 욕심 부려서 한페이지 더 할까 싶고 ㅋㅋㅋㅋ 일단 열심히 마감해보고 정해볼게요 👍👍
130,12 절대 뺏기기 싫은  모두   따로 안 정해뒀는데🤔 나 약간 고집 세서 내 거 뺏기는 거 못 봄  뺏을 생각하지 말아주세요🤭
131,썰풀다 깨달았는데 내취향은 정명석한테 맞는 장승준인듯🤔 뭔가 이런 느낌으로다가🔽 915
132,앗유라님이 부러워할 일이 안 생겨야 할텐데 🤔
133,좋은 아침  오늘은 야근 각인 아침 친구가 다니는 회사가 빌이터라는 게임을 제작했는데 여기다가 과금하면 친구한테 용돈 주는건가 🤔🤔🤔🤔🤔
134,아무래도 동운커피 맞는것같은🤔 16
135,1 닉네임 뜻  최애 라면 중 하나인 진라면 순한맛의 약자 앞글자만 따서 진순 구수하고 촌스럽고 정겨운 느낌이라 마음에 쏙 들어요 주변 친구들도 그렇고 대부분 매운맛 좋아하던데 저는 미각이 둔한지 맛의 차이를 잘 모르겠더라구요 🤔 트친님들은 진순파인가요 진매파인가요
136,김지연은 왜 이렇게 귀여울까🤔
137,우리집 돈벌어오는 큰 아들  호비 신발 뭐 신었는지도 아네  나한테 호비 사진 보여주면서 이 신발 어때 라고 묻는다🤔🤨  정국이 남방이랑 똑같은거 남편도 있어서 웃겼는데 ㅎ 호비 신발이랑 똑같은거 또 하나 더 있구나 우리 남편 부자네 나만 그지야 0
138,척 아닌데  김도영 🤔 59184
139,디지몬 서바이브 초반 감상 후기  동료영입은 여신전생 같고 진화에피는 페4 같음 디지몬이랑 와레와난지난지와와레 느낌이 나서🤔 스토리 전개방식이 애니메이션 같아서 애니 보는 기분임 게임하는 느낌은 별로 안남 어드벤쳐 오마쥬 많이 들어감 어두운 분위기가 아동용에서 벗어나지 못한듯함
140,네에 🤔🤔
141,616 제발앵콜때 보면 그럼 다 영시 아닌가봄 🤔
142,🤔 뭐 하나 저랑 관련이 없네요
143,0317 부코가 열리는군요🤔
144,한큐 세미나 갈까 🤔
145,그거 철회하겠다는 기사🤔  624
146,본사람다하기  연애  ⭕️ 키스  ❌ 자퇴  하고싶 전학  ⭕️ 수술  ⭕️ 입원  ⭕️ 여행  ⭕️ 담배  ❌ 장학금  ❌ 상장  ⭕️ 외박  ⭕️ 짱친  ❌ 사고  ⭕️ 흉터  ⭕️ 밤샘  ⭕️  뭐야 왜 이렇게 한게 많어🤔🤔 섹트 맘눌뎀
147,중섭 8월말9월초부터 2주년 정보 뿌리기 시작하겠지 그럼 새 굿즈도 가져오겠지 영계 가챠 복각하지 않을까 🤔 누충 굿즈 이벤트 또 하려나
148,들어가봐도 ㄱㅊ은데 화질은 걍 그럼  보이스 설명도 있는데 이건 550엔 내고 따로 들어야한대 보이스는 사쿠타카인가봄 뭐 딱히 새로 들어야할 내용은 없우니까 고민중이야 이걸 뭐 설명까지 해서 들어야하나 싶은 마음 반 사쿠타카 목소리나 들을까하는 마음 반🤔🤔
149,그 보냄 확정도 아닌데 의도치 않게 어그로를 끌어버린 것 같은데요  일단 요 며칠 탈솜 혹은 최소한의 솜만 남기고 소비를 막아야겠다는 생각이 계속 들어서 고민 중이에요 탐라 기준으로 제가 그렇게 소비가 큰 편은 아닌 듯하지만 그래도 계속 현타가 오고 부담되어서🤔
150,창작할로는 됐던거 같은데 재관으로 바꿀수있나 모르겠네 🤔 국유자로 되어있어서 🥲
151,서코때 사진사분이 찍어주신사진 받았어요 🤔못생겼따 85
152,아 어차피 곧 저녁 먹을 시간인가 🤔
153,아이 우리는 떠들게 넘 많은데 어떡하죠🤔
154,악마랑 계약하고 건강한 신체를 달라고 했더니 악마가 를 시켜버리는 게 생각난 🤔🤔🤔🤔🤔
155,오랜만에 던킨 땡기는데🤔
156,뜨개구리 근황 작구나 너🤔 첫번째친구라 연습용 41
157,08 그거는 고민을 죅굼🤔🤔🤔
158,그냥 그림 찍은것 같아소🤔
159,물리지 않을가요🤔
160,너도 언젠가 버려지겠구나🥲 버릴때 버리더라도 한번은 사용해줄께🥲  아마도🤔
161,아 알콜성이 어느부분이🤔 괜찮으신건가요
162,어쩌지 보고싶은 극 보고싶은 페어 갈수있는 날짜가 겹치는데🤔🤔🤔
163,이게 집 근처가 산이고 풀과 나무가 많아서 그런 것 같은데 🤔 여름에는 매년 이런 상태겠구만
164,05 저 1부는 좀 넘게 봣는데 456화까지 봣내요 벌써 한 3주 정도 밀린듯요 ㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐지 밀린거 청산한지 얼마 안 된 것 같은데🤔 아 그니까요 스티어 차유진 너무 궁금해서 조만간 보려고요ㅠㅋㅋㅋㅋㅋㅋ 이응님 언제보ㅅㅣ게요
165,쪼아요오오오오٩ˊᗜˋو 주문 요청사항을 개떡같이 말해도 찰떡같이 알아들어 주시려나🤔
166,116 이게 뭘까요오🤔
167,재현이 1차 나온 거 수정해야하는데 1차를 공계에 올릴지 말지🤔 역시 다 완성되고 올리는 것이 좋겠지🤔🤔
168,약간 에어컨 있는 실내도 어떻게 보면 냉장고가 아닐까 인간을 신선하게 유지하는 거대한 냉장고🤔
169,근데 비싼 침대🤔
170,원축 탈의실 줄도 많이 긴가요🤔
171,민호 쓰리사이즈 궁금해요🤔
172,도로 나가면 과속 금감속 천지인데 왜 내 점수는🤔 0235
173,자캐식으로한번만사랑한다고말해줘 서주는 장난으로 한다면 헤실헤실 웃으며 할 거 같은데 진심으로 한다면 한껏 진지한 표정과 약간의 울먹거리는 목소리에 상대 눈만 바라보면서 할 듯🤔
174,0 앜ㅋㅋㅋㅋㅋㅋ 애니로  보고싶은데 문스독 제가 본 이후 애니로 나왔던가요🤔  표도르 계략에 빠져서 현상수배범 살인자로 지목된거까지 봤는데
175,3 방붕아  생일축하한드아악  따단딴따단따단딴따단딴➡➡➡➡두구두구둥⤵⤵축하합🤵니다🎆🎉🎉🎉축하🎄합니다🎀🎀✨🎈당신의🥰🥰생일을❛ν❛축하합니다🤔🤔축하합🤵니다🎆🎉🎉🎉축하🎄합니다🎀🎀✨🎈당신의🥰🥰생일을❛ν❛축하합니다🤔🤔축하합🤵니다🎆
176,진짜 신기하네 어케 걸어다니면 발목 안쪽이 멍이들지🤔
177,없진 않은거 같아요 여자는 뿅가도 남자가 무감각 하거나 그 반대도 있거나 🤔🤔🤔
178,9845 그니까요 이사람들이 무슨 계획인건지🤔🤔🤔🤔
179,눈 크게 뜨고 당황하는 건우 보고 싶다 그래도 금방 표정 관리하겠지 사실 주하연을 각성 시킨다는 생각은 없었는데 그냥 돌리다가 익숙한 이름이 보여서 눌렀던 거면 좋겠어 같이 보던 큰달도 이름 보고 반가워하면서 형 각성하실 거예요 물어볼 것도 같구 🤔
180,그래서 아까볼랬는데 한시간 십분이더라구요 보다 자면 낼 다시 봐야돼서 고민듕🤔
181,에스노트 얘는 뱌쿠야 왜케 좋아하 뱌쿠야한테 집착하는거임 반했나🤔
182,1281 손교슛님 손이 뭐🤔
183,아육대 연습하는 거 촬영하는 촬영캠인가🤔🤔 4578
184,응언제 700괄이 되었을까요🤔그냥 준호가 좋아서 스며들었는데 꾸준히 껴주시고 놀아주셔서 감사합니다💛준호도 준호지만 가좍들 만나서 매일 넘 즐거워요😆600은 그냥 넘겼는데 700은 고민좀 해보겠습니닼ㅋㅋㅋ 앞으로도잘부탁합니다🙇🏻‍♀️ 8
185,아맞다 근데멀티모드못쓰는건쬐금꼽다 이거 진짜 개꿀기능이엇는데 🤔
186,부부부부부 부끄러운단어요🤔🤔
187,🤔 그래
188,음 너무 천천히 왔나 밥먹고 타서 무거워진건가🤔 6
189,에일리언 두꾸 🤔🤔🐰 7
190,으리으리하게 생겼던데 스펙도 좋나보네요🤔
191,어려운 공부 말고 귀여운 공부하자 마블러스가 개발한 새로운 공부 비법 밈즈  쉬운듯 하면서도 어려운 영어 회화🤔 밈즈와 함께 간단한 영어회화부터 하나씩 차근차근 배워봐요✏  §  홈페이지 4  § 공지사항 보러가기 002    18
192,흥 영상크롭으로 말을 대신했으면서 🤔
193,최근에 한거라곤 놀고먹고 생존신고하고 잠수타고 동결건거밖에없는데 10명의 구독팔분들뭐때매 저를 구독하시는건가요🤔
194,근데 2개인건감🤔
195,제 아가는 귀엽다  이쁘다  보다 잘생겼다가 먼저 생각나는 거 같아요🤔🤔 프사 바꿀려구 스샷 찾아보는데 자꾸 잘생겼단 생각밖에 안 들어
196,생각보다 오래가네요🤔 재고 많이 풀었나
197,8월은 죠죠리온하고 사카모토 데이즈 정도려나🤔
198,몰애는 지방공가는거 아니였니 코로로롱 재확산 때문에 엎어졌나🤔
199,웅  취향이 아닌거 같개🤔
200,집 안에 딱 한 곳 쉬려고 1015분여 정도 앉기만 하면 잠에 빠져버리는 신기한 곳이있다 꿈도 안 꾸고 문자 그대로 기절잠 자게 되는데 이게 너무 신기해 평소 사용하는 침대나 소파는 따로 있는데도 특유의 나른해지는 뭔가가 있다 🤔 다른 집들도 그런 곳이 있나 급 궁금해지면서 또 눈감김
201,14 아닌데🤔🤔
202,이상하다🤔 꽃💐속에 파묻혀 자는거😴봤는데🤭
203,정말 답장이 없는데🤔
204,7 보이는분도 계시고 안 보이신단 분도🤔
205,아니근데진심가슴에손을얹고 나정호석얼빤데 60억지구인중너가진심으로 젤잘생겼다생각하는데 오잉 정호석이 젤 잘생기지 않았어요 🤔🧐      68
206,지금 깨달았는데 카이토가 이시다 매튜 롤이냐🧐 금발 다혈질에 감정적이고 사회성 부족하고 지동생만 끔찍하게 챙기는데 정작 동생은 형의 과보호 귀찮아하는🤔 근데 카이토가 더 다혈질이고 야마토가 더 감성적임
207,라브 잘 지냈어 여기는 오전 내내 비가 내리고 있어서 다행스럽게도 비가 조금 전에 그쳐서 회사 점심시간에 산책을 할 수 있어서 사무실 근처에 있는 나무들을 찍었어요 나뭇잎 사이로 햇빛을 보는 것은 언제나 힐링이다 너도 그걸 좋아하는지 궁금하다 🤔🥰 5
208,흠어텀 브리즈랑 눈 사고 싶은데1억만 살까🤔
209,원정도 비슷한 느낌이려나🤔 8
210,그런 것 같기도 하고 🤔
211,미스터택시 단체 없이 다만세 무드샘플러로 넘어간다고🤔
212,결승 플미표 사지마세요 2차예매도 남아있으니 그때 예매하시길 일하고 고생하는건  관계자들스텝들선수들인데 왜 니네가 돈을 가져감🤔 플미표 안사면 쟤내 취소하니까 취소표도 노려보세요  양도 결승 양도 표 사지말라고 꾸준히 글 쓸거임 플미충들 다 묻히라고
213,7시간동안 미술학원에서 에어컨 쐬면서 그림 그려서 몰랐구나 몸 되게 지금 뜨겁고 이마도 뜨끈뜨끈 하고먼🤔
214,오므라이스님이랑 썰풀다 나온 아다치 체육복 빌려주는 쿠로사와😇  한편으로는 체육복 돌려받고 밀봉해놨다는 말도🤔 76
215,일본 왕복으로 얼마하지🤔
216,저 트럭이 부셔버린 건축물들을 이 다 변상해줬나🤔
217,어디 한번 훔쳐보시죠어디에 숨겨야하지🤔
218,나온다면 맛있을까요🤔 물론 저는 먹지 못하지만
219,777 지금 부모님께서 낡은 물건을 가지고 계신다면 그걸 선물로 드리시는게 어떠신가요 예를 들어 오래 쓰셨던 핸드폰이나 해진 지갑 등 더 좋은 아이디어는 그 다음 분께서 작성해주시겠습니다 🤔🤔
220,띠로리😳 코로나 확진  여름휴가 해외여행 파토 어떻게 출국 당일날 확진이 되냐   운도 참 지지리없지 쉣  내우주도 같이 확진이라 같이 격리중 같이 걸려서 다행이라 생각해야하나🤔
221,14715 그건  해주는 남자도 꼴리듯한데🤔🤔
222,한국에가면 이걸 마셔보고 싶은데  아직 한국에 있을까요🤔 10
223,청춘월담 아직 안 끝났군  왜 그렇게 오래 걸려  사근 때문인가  다음 주 8월인데  무빙보다 오래 걸리네  같은 20부작인데  청월 장르는 사극 부밍은 액션  🤔🤔 많이 고생했네
224,저게 뭐여;;🤔
225,1 ㅋㅋㅋㅋㅋㅋㅋ 비밀이 많으신 분이셨군요 원래 비밀이 많은 사람은 위험하다던데 🤔
