,tweet
0,9087 폭스쌤 잊모닝이예요 💛 그러게요 오늘도 덥네요 오늘도 잊시 기다리면서 즐건잊데이되어요😆 쌤도 코로나 조심하셔요😉💕
1,서양 가서 현지화 성공😉 46
2,9 ㅋㅋㅋㅋ 담에 내가 애견 동반 가능 식당이나 카페 알아볼겡 차 타구 데려갈테니까 만나쟈😉
3,0516 헤헤 제가 따끈한 털이불 들고오께요😉💞
4,뉴진스  하니  찰나의 순간에도 놓치지 않고 윙크하는 윙크 요정 🧚‍♀️😉
5,좋아해주시고 행복해하시는걸 전달 받아서 저도 너무 기뻐졌어요☺️❤️✨️ 이렇게 인연이 닿아서 기뻐요 이쁘게 써주세요😉
6,슴콘 양도합니다 2층 4 5열 돌출무대 토롯코 잘보여요😉 티켓값 제외하고 2 입니다 저도 콘서트가서 현장수령 동반입장 가능합니다☺️ 디엠이나 오픈채팅으로 들어와주세요 모든인증가능합니다 슴콘 양도 엔시티 드림 127 소녀시대 엑소 에스파 샤이니
7,247 아직 표는 없지만  갑미다  😉
8,예슬이 보고싶포  😉💝😉
9,🐝 양정동안마방 의성안마방 14시간 양평동안마방  😉
10,다행히 버스는 잘 왔었엌ㅋㅋㅋㅋ 그치만 어이를 잃었지 😉
11,0615 샘도 하실 수 있어요😉
12,47919411 그럴리가요 😉😉 진짜루 🤭🤭
13,2 잡히면 죽는 거다 😉
14,헐 알려주셔서 감사해요😉❤️
15,090 고마워요😉 6
16,뀨 오후 반차썻다😉😉😉 바스크 에그타르트 ㅋ ㅋ ㅋ 모몰라 에그타르트 얻어왓어
17,잊쁜얼굴도 목소리도아니지만😅 잊쁜 말투로 도전해보겠으🤣🤭😉
18,🐏 매화동페이만남 고성동아줌마 김천페이만남 밀양아줌마  😉
19,짤은 여기저기서 주워 온답니다😉 후 저 쌤 연성 너무 좋아서 이러구 잇ㅅ서요 6
20,제가 잘 부탁 드려야 될거 같은데요 🥰 같은 지역에 계시지요 친하게 지내 보아요 😉😊
21,⚫📠😉↖🚧 리트윗 팔로워 많이 해주세용 하트달면 디엠받아줄게용 섹트 대전 인증 맘눌피 일탈스타킹  634
22,넘무 귀여워요 이제 ㅊㄱ하셔도됩니다 보내드릴게요😉💞
23,12345678   친해져요😉💗
24,넵 난 치즈가 좋아하기 때문에 ㅎ 치즈 듬뿍 찍어 먹으면 짱이에요😋😉👍
25,12  남서쪽 감사합니다😉  🙇‍♀️🙇‍♀️🙇‍♀️🙇‍♀️🙇‍♀️
26,난 쭈았서😉
27,슈펭쌤 잊모닝이예요 💛 금요팅  화잊팅  행잊데이되세요 😉
28,앟ㅎㅎㅎㅎ 또 이렇게 상기를 시켜주시는 슈슈쨩😉 이렇게 오늘두 아주 햅삐한 하루가 되었슘니다ᐟ😊💕
29,2 눈 디테일 보고가세요😉 709
30,제가 준비한 응급실 동역이는 여기까지입니다 혹시 외전으로 보고 싶으신 거나 응급실 동역이가 아니여도 보고 싶은 에피소드는 여기에 남겨주세요🙂아니면 어땠는지 얘기해주셔도 좋아요 아무말이나 남겨주세용😉
31,💐 순창안마방 무주안마방 여수안마방 봉명동키스방  😉
32,ㅋㄲㅋㄱㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㄲㅋㄱㅋㄱㅋ근데 다시 제대로 그리려고 트레틀 찾고있었어요😉
33,😌대마초팝니다 대마초판매 😉허브팝니다 허브판매 6
34,1 아니에요 오세요 전 좋아요😉 디엠으로 알려드릴게요
35,1225 잠깐열고 닫을꺼야😉
36,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 근데 사실 저도 다 가리고 봐서 몰라요 😉
37,보정해서 이뻐진 객행 😉  519
38,2  맘찍 요정이 되어드리겠습니다😘 앞으로 자주 등장 예정😉
39,92 당근 사먹은거니까😉
40,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 😉
41,🐟 서귀포안마방 용운동안마방 고천동안마방 신포동안마방  😉
42,딱 내마음😉💖 17
43,전화 나만 걸 수 있어 인가요 ㅋㅋㅋㅋ 집을 사랑하는 아욱님과 어쩐지 잘 어울리는 결과족 😉
44,2005 1군😉💙
45,아잉 참😉
46,완결 났다고 하고 정발 안 나올 것 같아서 질렀는데 갑자기 디씨책 내준다고 해서 웃겨요ㅋㅋㅋㅋㅋ하지만 만족합니당😉😉
47,🐯 수정글래머후기 유플 스타킹 주식자동매매  😉
48,99 19 제꺼   😉
49,☄ 봉명동출장업소 거창출장마사지 우산동출장업소 제주시출장마사지  😉
50,0322 열심히 공부 중🇰🇷😉😉😉
51,5 우와 혁모의고사 백점맞았다  쌍커풀라인도 좋고 흑발덮머에 옷입은것도 대학생같고걍 느낌딱알지요 😉
52,같은말 반복해서 대화하면 그렇게 느낄 수 있죠근데 진짜 예쁜말;힘되는말 해주신거 맞으니까 이제 영상 매일 돌려보자구요😉💗
53,원래 문자는 사람의 감정 억양 목소리를 담지 못하니 딱딱해보일 수밖에 없옹 난 그게 당연한 거라고 생각해😉 글을 읽어보니 숩냠이가 어떤 어려움과 고민이 있었는지 정확하게 알려주고 그 어려움을 어떻게 해결할 건지에 대해 말해줘서 고마워 숩냠이는 하면 할 수 있는 사람이란 걸 아니까 난
54,67 노을하면 쏭님이시죠ㅎㅎ대체불가😄😁😉🥰
55,저를 보는 눈에 콩깍지가 가득가득 낀 우리 문대가 만들어준 제 캐릭터예요😉❤️ 6943
56,456 앜ㅋㅋㅋㅋ속살까지 씻겨주는분이죠😉
57,126 기여워서 함만 봐두립니다😉
58,79 최애인 점 너무 잘 보이는 거 같아요ㅎㅎㅎ 말씀하실때 애정 뚝뚝😉❤
59,🐜 오치동안마방 장수안마방 장군면안마방 주월동안마방  😉
60,헤헤 별말씀을요 직장인 분들 많이 오셔서 점심에 가시는거면 조금 이르게 가시는게 좋을거같더라구요😉
61,사실 용안 나오기 전에는 백련이 드래곤쿠중 최애였음 동양의 선녀복이랑 성격도 너무 취향이였는데그보다 더 취향인 드래곤이 나와서누군지 알죠😉 5
62,히히 재밌었어요 랜서님 덕에 못나갈 판도 많이 나갔는걸요 담엔 덜 피곤한 직장인으로 돌아올게요😉😉😉
63,고기감자조림 먹고 싶어서 재료는 사놨는데 만들기 넘 귀찮아서;; 방치하던 중에 마침 언니 놀러온대서 조리대 넘겨벌임ㅎㅎ 역시 남이 만든 거 얻어먹는 게 최고당😉 완벽한 술안주💗 64
64,00 웅웅 그런 사람들 다 빼버리구 우리끼리 씐나게 덕질하자구웃😉😉
65,📢2022 티켓 이벤트  최애돌 셀럽 이벤트 참여하신 분‼️ 당첨자 발표 확인하셨나요  문의하기 혹은 폼으로 7일까지 개인정보를 제출하셔야 합니다💥  참여한 이벤트 당첨자 확인 후 타래를 잘 읽고 티켓 받아가세요😉  당첨자발표 빠르게 확인하기 →
66,여러분 유황님 팝허브 디코서버 오시면 가끔씩 저랑 같이 그림화공 하실 수 있단 사실😉 제 마감방이랍니다 크크
67,931028    0651  93 93 다음에 솸개팅 열리면 나 잊지 말고 불러줘😉😉
68,안돌려주고 아침에 오면 안돼 😉윙크 해봄
69,0709 저도 아주 최소한의 눈치는 있어요😙 이정도는 해야 그나마 발이라도 붙이고 살죠 제 지능이 부족하다는거 아주 잘 알겠으니 이제 그만하셔도 될 것 같아요😉
70,1113 아잇 여보한테 회원증은 주고 휴픛해야지 😉💜💜💜 회원증을 얼른 🫶💗
71,2391 다행  저는 뜨끈한 물로 심장마비를 방지합니다 😉
72,진짜 먼저 연락 안 하다시피 하는 사람인데 지하로 뚫다 못해 맨틀까지 닿기 전에 끄집어내주는 사람들 귀하고 귀하다 나 요즘 인서타 너무 뜸하지 짹짹거리느라 별 볼 시간이 없다 😉
73,🌞 곡산 구인오징어회 강남룸 유뷰녀  😉
74,🐁 중리동안마방 수곡동키스방 충남안마방 대자동키스방  😉
75,210111 일요일 밤에 새벽까지 노는게 얼마나 재밌게요😉✨
76,8630   🙏😉 굿나잇   남준😴🫶    ✨✨✨✨   20
77,딱 2시간만 자고 딱 점심 저녁 끝내주게 먹을게요💪💕 😉😉😉
78,🍃 유기견 웃긴짤요일웹툰 안동시 대덕성감  😉
79,헤헤 역시 오시분과 함께잇는 편이 피카츄도 좋지 않을까 싶어서  저 대신 많이많이 아껴주세요😉💕👍
80,네 막꽁날 낸나 해주세요😉
81,0 ㅋㅋㅋㅋㅋㅋㅋ 저두 즐거웟어요 기회되면 다음에 또 해요😉
82,14 ㅋㅋㅋㅋㅋ 닌자 해야하나 민첩 짱 😉
83,우리집  😉 3
84,030303 끄앙 감사해요 유쓰님 인장둨ㅋㅋㅋ 놀라 햄쪄ㅋㅋㅋㅋㅋ이안이 같구 넘 귀여워요😉💓
85,02 맛있으면 0칼로리래요😉😉
86,930301 엉엉 울지마로ㅠㅠ 앞으로도 열심히 아무말해보께요😉
87,그래서 냅다 팔 했읍니다ㅎㅎ 타장 얘기 너무 많다 싶으면 편히  블블 해주십셔😉
88,0422   암튼 금손이야 이뿌당  포카 맛나게 드셨어😉😉
89,0 오머어머 북그러워요👉👈💙 경자님 앞이라 그런걸지두😉😉
90,3 아니에요ㅠㅠ 그림 그려주신 값은 받으셔야죠 대신 커미션 여시면 저 1등으로 불러주십셔😉
91,93006713 데헿 찡끗😉🫶🏻 따랑해요 쑤님급 사랑고백
92,001 제발요ㅠㅠㅠㅠㅠㅠㅠ저도 등업알람빨리 받아보고싶으네여ㅠㅠㅠㅠㅠㅠ 서하마 그니까 라장으로 출섣이라도 불러주렴 ㅠㅠㅠ그럼 참고기다려볼겡 ㅋㅋㅋㅋㅋ응😉😉😉
93,0113 구럼 내가 초과되게 해줄게😉💖😚😚
94,핫초님 아나스타샤오랜만에 연성이라 재밌게 연성하였습니다 댓글 남겨주셔서 감사합니다😉 65
95,666 헉 적울님의 생일을 축하합니다아🎉🎉 맛있는거 많이드시고 오늘 행운이 가득한 날 되길 바랄께요 😉😘💕
96,00 하핫 저만의 혼잣말이였어용👉😉👉💛
97,1126 꺅 너무 조아요 예술하길 잘했네용 히히😉🤍
98,쪼아요 찾아보고 또 궁금해지면 디엠드릴게여😉😉
99,01252 오오 잊쁜오빠들예여 😉 율잊쌤도 천사이세요 😻
100,민지 끼부려요😉💙 0
101,오프라인 듬직이도 제 꺼구 뿌뿌님은 단아한 사람 하세요😉💕
102,70 월요일 개학인데 수학 3시간 들었더라구요 그래서 약간 멘탈 나가서 그래용😉핫
103,03 유자엄마 슬쩍 바라보기😉
104,처음 봤을 때는 진짜 예의 지켜주세요 제가 그 싫으면 마음속으론 다음 칼춤에 썰겠다 이러ㅁ는 사람이라 지금도 썰 분 잇솨요😉
105,81144471 저라면 야동보고 딸 쳤을거예요😉
106,02707210 저는  좋아하니까  추천드려요😉
107,🦟 배우 주윤발 시장 사전예약  😉
108,66784809 언니는 알지이😉🫶
109,13 꺅 설레💗💗🫶🫶😭😭🤗🤗😘😘😳🫢😋🐯😉
110,팔로우 걸었답니다 😉
111,🐻 친구찾기 광화문 수원 웨이트트레이닝  😉
112,추천해주신 앱을 체험아니 가입했습니다일단 고슴도치도 귀여웠고좀 신기한독특한 앱이더라구요제가 또 특이한거흔하지 않은거 좋아하는 특이성향이라그리고 뉴스 말고도 이것저것 흥미로운 메뉴들이 많더라는그래서 제가 세상에서 제일 귀찮아하는 회원가입이란걸 했구요리뷰입니다😉
113,7640  해피쌤의 탑꾸가 도착했어요😍😍 당첨된것도 기분좋은데 탑꾸에 펭귄이 똭😆 해피쌤의 정성가득 손편지가 똭😆 받자마자 주너사진 넣었답니다😉   기쁨을 선물🎁 해 주셔서 감사해요💛 소중히 잘 간직할께요🥰 2364
114,움 처음에 시작 할 때는 젤 아이라이너나 아니면 펜슬 아이라이너로 한번 그리고 그 위에 리퀴드로 그려봐융😉 처음 그리는건데 불펜으로 하면 손이 흔들려서 이쁘게 안그려질고야
115,747474742 저도 마찬가지에요😉💖
116,1 🍹이쪽 테이블 숙녀가 보냅니다😉
117,🆑👸🎩😉 리트윗 팔로우 순으로 순서대로 정리해서 디엠드립니다 원본 고화질  디엠창 열어놓으세요 순서대로 정리해서 보내드려요  일탈섹트야동맘눌뎀맘눌피섹스야동서울부산인천대전교복목소리보지  95 4
118,오빠 당신들과 함께 있는 날에 감사드리며 미래는 항상 당신들을 위해 응원할 것입니다 나도 방금 퇴근했는데 얼른 시원한 젤리 한 그릇을 먹었어😉🥰
119,컴션 신청 감사합미몽😉🤍🖤 1
120,뽐쌤 어제 보자기는 찾으셨는지요😆😆 오늘도 더울것 같네요 바쁜현생 주너로 수혈하면서 즐겁게 보내보아요 오늘도 화잊팅입니다‼️ 아그리고 잊모닝입니다 😉💛
121,42 08 하난 내 거야 친구 😉
122,저야 늘 새벽 공기를 즐기다가 자니까요 오늘도 평범한 하루로 보내기 위해서 라고 해야겠죠 😉
123,이미 호구가 되었지만 벗어나고 싶으면  상사한테 왈왈 울부짖어라 😉 그래야 알아쳐먹는다 성공
124,울 에스파 왤캐 다들 다정다정한거야😉😌
125,범죄도시2 액션북 예약판매 😉 자세한 내용은 출판사 윌북  또는 온라인서점 예약판매 페이지에서 확인 부탁드립니다  예스24 194 알라딘 94 교보문고 1  마동석 손석구 최귀화 박지환 허동원 하준 정재광
126,아뇨 뱁 본주입니다 😉
127,므아ᐟ 당욘히 좋죠😉✴︎  근데전진심이었어요ᐟᐟ 꼭 보내드리구시파요
128,여러분  시네마 입금 잊지 말고 하시길😉
129,9301 오케이 왼쪽으로 고정 기억  😉
130,2 꺅 켠지 나 너 보러 가😉
131,🦉 당구레슨 바나나빵 김태리 서울부산대구인천  😉
132,222 소장 당연 가능하죠감사합니다😉
133,🐍 북구출장안마 속초마사지 내손동출장업소 순천애인대행   😉
134,그거보다 더 하자나 😉
135,희승   엔진 늘 저희 응원와주셔서 감사해요 💛  관객석에 응원봉 보면서 더 열심히 무대해요 😉   패러독스 넌엔진봉들때가제일예뻐
136,규퍼클랩 😉 2
137,오구오구 엄청 잘했다 대단해 진짜 역시 루링이야😉
138,4121 ㅋㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋㄱㄱ더이어주세요😉😉😉😉😉😉😉
139,0203 일렉기타 짱과 더불어 탈모가 올 것 같워요 😉
140,조금만 기다려유 찡긋🙃😉
141,머릿속으로 시간대 계산해보는중 아 중3때 개미친새끼된거 맞구나 하고 만족  토와가 어쩌다 중3때부터 개미친새끼가 됐는지 궁금하다면 슬로우 데미지😉
142,헤헤 3일동안 그림도 안 그리고 뭐하고 살았는지 원  그래서 치트 그렸어요 😉
143,연교로 드린 그림😉 488
144,정리해서 주말에 따로 올려드릴게요 무료로 😉
